,G0000,G0001,G0002,G0003,G0004,G0005,G0006,G0007,G0008,G0009,G0010,G0011,G0012,G0013,G0014,G0015,G0016,G0017,G0018,G0019,G0020,G0021,G0022,G0023,G0024,G0025,G0026,G0027,G0028,G0029,G0030,G0031,G0032,G0033,G0034,G0035,G0036,G0037,G0038,G0039,G0040,G0041,G0042,G0043,G0044,G0045,G0046,G0047,G0048,G0049,G0050,G0051,G0052,G0053,G0054,G0055,G0056,G0057,G0058,G0059,G0060,G0061,G0062,G0063,G0064,G0065,G0066,G0067,G0068,G0069,G0070,G0071,G0072,G0073,G0074,G0075,G0076,G0077,G0078,G0079,G0080,G0081,G0082,G0083,G0084,G0085,G0086,G0087,G0088,G0089,G0090,G0091,G0092,G0093,G0094,G0095,G0096,G0097,G0098,G0099,G0100,G0101,G0102,G0103,G0104,G0105,G0106,G0107,G0108,G0109,G0110,G0111,G0112,G0113,G0114,G0115,G0116,G0117,G0118,G0119,G0120,G0121,G0122,G0123,G0124,G0125,G0126,G0127,G0128,G0129,G0130,G0131,G0132,G0133,G0134,G0135,G0136,G0137,G0138,G0139,G0140,G0141,G0142,G0143,G0144,G0145,G0146,G0147,G0148,G0149,G0150,G0151,G0152,G0153,G0154,G0155,G0156,G0157,G0158,G0159,G0160,G0161,G0162,G0163,G0164,G0165,G0166,G0167,G0168,G0169,G0170,G0171,G0172,G0173,G0174,G0175,G0176,G0177,G0178,G0179,G0180,G0181,G0182,G0183,G0184,G0185,G0186,G0187,G0188,G0189,G0190,G0191,G0192,G0193,G0194,G0195,G0196,G0197,G0198,G0199
SIM-0000-NT,0.03666109,-0.1224283,-0.008830311,0.10507427,-0.14680518,0.22035258,0.14561889,-0.044989653,-0.20660783,-0.02266522,0.5276676,-0.18935718,0.38269517,-0.4387954,-0.21519655,-0.13565743,0.23727219,0.013839289,0.32751787,-0.08316056,-0.013464944,-0.08217034,0.5066003,-0.28006035,-0.12704924,-0.24449058,0.14332812,-0.28525245,0.4555366,0.020169972,0.10309502,0.11577562,-0.0050148126,0.030416092,0.021182818,0.12981078,-0.20559226,-0.2480195,0.20524202,-0.0004794475,-0.5016131,-0.11879752,0.3824936,-0.04009428,-0.13274783,-0.37369847,-0.14195776,-0.29093838,0.107301146,0.012323185,-0.09086573,-0.19055445,0.38161013,-0.17632914,-0.17539968,-0.06074201,-0.025779726,0.12051158,0.2326112,0.2138933,0.6074736,-0.4232185,0.05771283,-0.13012671,0.50244,0.04390087,-0.50741804,0.10855345,0.06670811,0.18943645,-0.1808827,0.08195682,-0.067621596,-0.16784047,0.08568096,0.038196173,0.2625133,0.0067472383,0.15097564,-0.3018584,0.3486293,-0.19430017,0.22573262,0.065779686,0.034080934,0.19008635,-0.53499544,-0.14338107,0.1865324,0.4805233,-0.0060895546,-0.6094073,-0.07930475,-0.015037464,0.27736485,0.012085758,-0.3191813,0.24087414,0.1420792,-0.17477342,0.17996815,-0.13665359,-0.074552014,-0.13242209,-0.077485286,0.22669007,-0.44644636,0.27603233,0.044081215,-0.097521335,0.0051907715,-0.22724399,-0.40793088,-0.22019456,-0.47387233,-0.33816054,-0.4056879,0.3059547,-0.3210528,-0.010311589,0.27918416,0.21252221,-0.073784016,-0.07264407,0.045037687,0.52805704,0.103261806,0.16705498,0.5665992,0.06945659,0.28696474,0.11943132,0.11578939,-0.24083473,-0.282288,-0.12807912,0.22048381,0.20861654,0.33329657,-0.0027759213,0.13443547,0.1354989,-0.026873553,-0.080383666,-0.37124956,-0.03813364,-0.026000129,0.28359684,0.30824795,0.036428332,0.5158458,0.047496747,0.2582301,-0.025018532,-0.2850377,-0.106304824,0.36851275,-0.066050515,-0.11662454,-0.0010164666,-0.097374275,0.29843977,0.47136366,0.0014837239,0.13511392,0.24296878,0.02713704,-0.21947803,-0.10236065,0.10300574,0.098453045,-0.44804713,-0.10915525,-0.18425177,0.22057295,-0.17456023,-0.115286656,-0.124022864,0.19783293,0.24221109,0.12339339,0.27660236,0.3088538,-0.45257717,0.14797784,-0.09244967,-0.3141871,-0.07993362,0.18271518,0.36381182,-0.33627495,0.15460394,0.49140725,0.45768842,-0.86332625,0.54472,0.24026027,-0.5768457,-0.19141525,0.31444103
SIM-0001-NT,0.09007138,-0.14348893,0.016615685,0.13647974,-0.14481723,-0.031779353,0.22422928,-0.17520477,-0.33924705,-0.15932806,-0.2222281,-0.15121679,-0.43186465,0.058905248,0.21690032,-0.2029319,-0.16299231,-0.046846624,-0.22782633,0.24594565,-0.2221653,-0.13147487,-0.19081698,0.2518693,-0.057769727,0.49827734,0.08844117,0.28960782,-0.081068054,-0.23565513,-0.008290216,-0.1697609,-0.49963233,0.25337994,0.008185753,-0.1750756,0.09406791,0.011733157,0.3524477,0.10820419,-0.03922982,0.17335702,-0.00899104,0.045958195,0.3065417,-0.29214302,-0.2158184,-0.104839176,-0.06825721,0.28913477,-0.35367486,-0.007374971,-0.13769452,0.42512062,0.22096187,0.05967307,0.24221067,-0.32985997,0.5068761,-0.21046346,0.31423748,0.13791277,0.0660812,0.30380616,0.24914551,0.026845543,-0.10539966,0.03075724,-0.02570166,0.0884978,0.2551474,0.117142126,0.046217427,-0.16349173,0.08116418,-0.42398328,-0.19937687,0.15156057,0.22129679,-0.005165854,0.05024763,0.09256529,0.17035899,-0.050352287,-0.24574012,0.09679359,0.4895763,-0.23061322,-0.03172833,-0.09656161,0.6032996,-0.24018136,-0.040114496,-0.09117155,-0.31358668,-0.32716474,0.14209585,0.17716323,-0.13987504,0.3522491,-0.56270325,-0.31461808,-0.20618016,-0.002238319,-0.11272678,-0.050261777,0.12126394,0.36426738,0.20060767,0.014038355,-0.02003539,0.2753529,0.4710587,0.15957324,-0.12252615,0.064807035,0.14507805,-0.13878645,0.21643862,0.06601039,0.29116452,-0.24418546,-0.4353694,-0.09818847,0.0059342226,-0.4502257,-0.15211457,0.32088888,0.13332088,0.03455691,-0.26394612,0.31257048,-0.10433644,0.023748582,0.10185047,0.04281281,0.37294453,0.14377846,0.08458558,-0.021607393,0.10797652,-0.052499063,0.04734476,-0.085428596,-0.12485834,-0.2290148,-0.06779786,-0.08419867,0.45734403,0.24802637,-0.03350645,-0.10582788,0.15376379,0.48556983,0.19914006,-0.43001342,0.21579114,0.26007995,0.54980975,-0.0620866,0.03464219,0.11256005,-0.19099443,-0.21364374,0.09983942,-0.38575724,-0.32925585,0.2039193,0.124459796,0.31243536,0.11580829,0.0026056361,0.3222673,-0.10571762,-0.08333454,-0.016129553,0.11261636,-0.016655587,-0.37126192,-0.06664801,-0.007889263,0.0287051,-0.112350106,0.126404,-0.40263143,0.10393989,0.44821495,-0.151702,0.014402595,-0.061756313,-0.05754259,-0.2571172,0.49788964,0.09644631,-0.16769914,-0.19616163,0.015375304,-0.5419183,0.2632055,-0.12846264
SIM-0002-NT,0.097198375,0.10889944,0.2413248,0.12315638,0.18579377,0.25476637,-0.08256162,0.5378468,0.088218465,-0.0069955965,-0.21027611,-0.05176223,0.100464016,0.023819251,0.45686194,-0.097496286,0.16982742,-0.2813871,0.54580206,-0.2984093,0.5185711,-0.03395984,-0.558638,0.33800945,0.02058121,-0.11336018,0.1604204,0.16610205,0.103645846,0.28375965,0.06313735,0.16243108,-0.13044108,0.19139099,-0.12935048,-0.28113523,-0.05156557,-0.06894514,0.23193762,-0.36330017,0.27340832,-0.15574366,-0.6162238,-0.30184734,-0.076883785,0.11105647,-0.033324875,-0.30238464,-0.19463366,-0.298215,0.06468907,-0.022648374,0.153443,-0.44254956,-0.13349578,0.5071995,0.16025859,-0.07402682,-0.24683852,0.2769369,0.38316777,-0.28716692,-0.2635172,0.06970023,0.09307088,0.12069462,0.46084246,-0.24287197,0.0099645825,0.18029849,0.17760487,-0.16195373,-0.15208104,-0.11480553,0.4258643,-0.24461779,-0.08107741,0.193863,-0.27220312,0.06450454,-0.47488287,0.04815033,0.013093685,0.040902406,-0.21723312,0.056931082,-0.009762088,0.3247801,0.15946029,-0.36224562,-0.20814627,-0.15408929,0.045096442,-0.042279314,-0.043313835,0.70443326,-0.12822413,0.34771648,-0.036840282,-0.54463106,0.047831357,0.2798077,0.15836178,0.0640376,0.0059314747,-0.123664625,0.22405888,-0.10855084,-0.16008434,0.102658,-0.07501861,0.32021615,0.116820075,-0.19449246,-0.2861818,-0.14339797,0.5844891,-0.059393182,0.18956959,-0.32641166,-0.2707703,-0.047107916,0.42527452,-0.32268363,-0.15743363,0.22542354,0.39814717,0.10935082,0.16896711,-0.22423054,-0.33073014,-0.28645593,-0.21833959,0.056400586,-0.30490956,0.062600315,-0.07879665,-0.1406295,0.22125943,-0.23975763,0.35892612,0.20771077,-0.24752542,0.30055904,-0.27705932,0.32326993,0.083233446,-0.39478073,-0.32384458,-0.10124366,0.2169489,-0.042672448,-0.04890515,0.010042347,-0.498771,0.20605633,0.33491457,0.19734031,-0.10587157,-0.22126037,-0.27048427,-0.28328523,0.5661407,-0.019705739,0.2261715,0.2124095,0.03565261,-0.23291378,0.1296734,-0.27063093,0.15057625,-0.25921905,-0.10904002,-0.10945851,0.3497379,-0.6085239,0.5826965,-0.20147629,-0.030840456,0.10332674,0.081903875,0.21090749,0.15259321,0.5092488,0.18289892,-0.029340427,-0.13825333,-0.1447134,0.32331094,0.4388005,0.25102526,-0.7911053,-0.56178755,-0.0018905174,-0.04167307,0.00497716,0.31293562,0.3004725,0.043728337,-0.38097015
SIM-0003-NT,-0.30730107,0.016857237,0.10420564,-0.30432716,0.16513044,-0.4380941,-0.6657901,-0.21878184,0.34326586,0.38057128,-0.39873484,-0.37962186,0.19023377,-0.11017248,0.34159356,0.1861653,0.22909838,-0.20547006,0.11095287,0.5040959,0.03556209,-0.011250472,-0.108923286,-0.40048403,-0.27473646,-0.22295567,-0.41107515,-0.38587055,-0.6120462,-0.19562772,0.16881198,-0.079129726,-0.07799648,0.19169456,0.4222413,0.56833255,0.0361277,-0.070450306,-0.103269756,0.14780036,-0.039076485,-0.038182322,-0.02161737,-0.23553413,-0.5830491,-0.16730914,0.36436984,0.35261902,0.23494564,-0.123432145,-0.1976284,0.40614912,-0.27078247,0.009849481,0.42237338,0.030986603,-0.07336951,0.2899597,0.01800301,0.049042758,0.3786782,-0.6362313,0.089710005,-0.19158004,-0.051805828,0.028239101,-0.16886765,0.057130545,0.09634118,0.0508639,0.0278536,-0.029400172,-0.024483228,0.019848164,-0.23560394,0.31752917,-0.022778278,-0.10084405,0.09896097,-0.02867245,0.31065604,0.2236708,0.023235023,0.23472877,0.058817096,-0.288528,0.2224669,-0.47511145,-0.87921387,0.174499,0.11089059,0.094188124,0.3473892,-0.0061790184,-0.09456257,0.19915996,-0.17844842,-0.0595273,0.06314324,0.083135396,-0.08325621,-0.12261982,-0.2799797,-0.19679374,0.4547721,-0.066394195,0.04731287,-0.3728195,0.64080274,-0.21536624,-0.29376858,-0.015295643,-0.22311981,0.09124532,-0.37791088,0.28426227,0.2349648,-0.029670168,-0.41387993,-0.20306331,0.015631402,-0.30262777,-0.26195577,0.26232478,0.038729258,0.030832684,0.13186486,-0.040955715,-0.014876451,0.1139964,0.20224577,0.124525756,0.36509702,0.0061575915,-0.3367929,0.27206764,-0.06127155,-0.19217251,0.17808735,0.09269293,-0.31968695,0.16765757,0.46857923,0.08090449,-0.064045936,-0.41731387,0.51280457,-0.12924005,-0.35199714,0.02771123,0.25206223,0.3089787,-0.16805491,-0.024631433,0.00010319905,0.24413949,0.14820853,0.06765616,0.22870661,-0.34051695,0.10521864,0.055399083,-0.012501672,-0.062418602,0.033537403,-0.14254703,0.68182296,0.33974355,0.27322748,-0.13241933,-0.2392982,-0.052988045,0.02853991,-0.3620975,0.1199942,0.2705374,-0.55891937,-0.22509202,0.30695853,0.09349133,-0.21658072,0.18384047,-0.14855367,-0.059030388,-0.28471935,0.0042286823,0.25454757,-0.11937615,0.1613643,-0.01247747,0.2697518,-0.115759365,0.38875496,0.1703972,0.06100325,0.07012685,-0.11624661,-0.13233462,0.06554811,-0.29968336
SIM-0004-NT,-0.15042298,-0.23431379,0.14295529,0.14675683,0.31695557,-0.08366329,-0.20194203,-0.3673241,0.06773755,0.34919855,-0.018653104,0.0066578053,-0.0015535306,0.06350259,0.24926229,0.47979715,0.124576494,0.14106773,-0.05981622,-0.026953053,-0.030327149,-0.091536745,0.031881522,0.15621862,0.015889157,-0.07013005,0.031499684,-0.23996411,0.20083506,-0.103289776,-0.28874218,0.11543625,0.1278457,-0.214983,0.15589224,0.15847492,0.49372017,-0.05875628,-0.013594143,-0.15169922,0.12341884,-0.001151094,0.24698225,-0.1084876,0.117963955,-0.059461184,-0.46062002,0.15701017,-0.43701246,-0.039871067,-0.03596686,-0.0020923535,0.011827693,0.009366902,0.090768166,-0.02718272,0.65392435,-0.085598186,-0.3056523,-0.35250327,0.1645642,-0.3979088,-0.3024369,-0.33843976,0.11428553,0.33267686,-0.23598662,0.10551036,-0.65923643,-0.18618627,0.15061873,-0.07807616,0.24850722,-0.5582976,-0.18374403,0.11318663,0.110048756,0.1292338,0.051877905,-0.28603113,-0.19477871,0.5790962,-0.3148443,-0.35389274,0.16997284,-0.26481742,0.4480534,0.68361163,-0.0602349,0.07736304,-0.45616433,0.2579013,-0.5596592,-0.3348841,0.029648066,0.13691431,-0.37097448,-0.13563341,-0.41539317,-0.079256766,-0.20018856,-0.15892433,0.16280407,0.070392296,0.14029674,-0.03230017,0.17923312,-0.008774051,-0.12284639,0.14264256,-0.10585542,-0.08237228,0.26706746,0.24352193,-0.07428451,0.21821427,-0.31954303,-0.07283467,-0.18795022,-0.00043762597,0.1836465,0.1389193,0.104907475,0.034372915,-0.039842203,0.30029684,-0.3866319,-0.16669248,0.102820516,0.38197038,-0.08645927,-0.06523234,-0.32247967,-0.13537963,0.17705767,0.3948234,-0.07332141,-0.19974357,0.017437812,-0.40367,0.3088955,-0.30768323,0.078448065,0.07474854,0.15693511,0.06389803,0.00067819754,0.10714966,0.20867239,0.4491141,-0.27562994,-0.4597621,-0.38672325,-0.45331872,-0.29992056,-0.33165327,-0.104091726,0.21378063,0.15662134,-0.15555786,-0.13396473,0.5026941,0.14869624,0.043176796,0.030375443,-0.07231176,0.5007845,-0.047461703,0.037323937,-0.41220427,-0.15909146,-0.13767944,0.12157341,-0.19380477,0.012078018,-0.15158872,-0.27516034,-0.2853232,-0.043349285,0.025765771,-0.048431262,-0.20821574,-0.03443906,-0.08067792,-0.26046684,0.020771064,0.45258173,-0.037395764,-0.36527014,0.36713618,0.3142804,0.35813186,-0.01055434,-0.19588862,-0.22325645,0.28530607,0.40146974,-0.23009327,-0.63002664,-0.0044464935
SIM-0005-NT,-0.22606464,-0.17681655,-0.05955477,0.10246839,-0.19524091,0.034019135,-0.031538542,-0.57633704,0.13624379,-0.11275123,-0.31596565,-0.1814995,0.050741427,0.011558278,0.16110814,0.109145895,-0.29290086,-0.73857737,0.03022634,0.1577378,-0.05061108,0.16515112,-0.2504107,-0.086504765,-0.23014416,0.17432448,-0.2276002,0.5149623,-0.12549853,0.19954519,-0.12228642,0.33440536,0.3248773,-0.08094149,0.068674855,0.3184894,0.076082475,-0.23018141,0.017516494,-0.18705563,0.0377487,-0.19686817,0.09320141,-0.44719794,-0.28049517,-0.19830592,-0.040053524,-0.37802047,-0.22086412,0.19453026,0.22429127,-0.63340616,-0.1466864,0.31870905,0.09650964,0.1018372,0.14103678,-0.23973261,0.05350763,0.11793345,0.026770016,-0.09840824,-0.01202155,-0.28503615,0.15353917,-0.35883367,-0.20406482,0.17044626,0.0725641,-0.121037565,-0.42811558,-0.011533172,-0.15754406,0.12010432,-0.12915604,-0.4376667,-0.34593296,-0.10674863,0.02719172,-0.29097176,-0.1896213,0.19811837,0.2774111,0.069228694,-0.07125923,-0.1553536,0.13480608,-0.07909217,0.23003188,0.24317105,0.1025193,-0.1244052,-0.10509623,-0.41092563,-0.013163893,-0.02092298,-0.34438148,0.5910385,0.1390617,-0.21011141,0.513548,-0.12401226,0.20758475,0.021908147,-0.11543964,-0.08423539,0.35916293,0.21905752,-0.03060122,-0.512581,0.07610697,-0.31161875,0.13464825,-0.17851348,-0.15235701,-0.15952115,0.2551287,-0.4415669,0.18444048,0.08557519,-0.018158846,-0.1120121,0.1216205,-0.110005446,-0.112267755,0.015938397,0.42993888,-0.37821785,0.12517604,-0.03576062,-0.05514895,-0.38174284,-0.43894598,0.084982984,-0.31733558,0.2540927,-0.2539647,0.13774423,-0.14401317,-0.15600017,-0.22846374,0.10920413,0.17889297,-0.07888307,0.1478015,0.003152074,-0.33355704,0.09463329,-0.0751343,-0.65357405,-0.09769305,-0.42337507,-0.30788493,-0.06223791,-0.018804712,-0.20876339,0.1318251,-0.028630428,-0.105994746,0.0108511485,0.30126473,-0.5375793,0.324881,-0.15416062,-0.19473022,-0.10054377,-0.22167595,-0.26009375,0.21170641,0.039921355,-0.47942284,0.16852753,0.13211063,-0.37114704,0.045064665,0.15511477,-0.40107402,0.0713214,-0.16877422,0.13554786,-0.23341198,0.2605608,-0.060883716,-0.15372342,-0.18063009,0.21850471,-0.18079087,0.26511148,0.053354878,-0.3464027,0.0064947926,0.011714897,-0.35453886,0.0020705587,0.13554499,0.28203818,0.2710839,0.59725827,0.00014612549,0.1384504
SIM-0006-NT,-0.15155871,0.4710574,-0.22273383,0.45980906,0.42773435,-0.19622312,0.25908178,0.11418263,-0.102996185,-0.03395224,0.06636939,0.09015986,0.37354797,0.1428064,-0.19246724,0.18590488,-0.43691438,-0.096646465,-0.07257912,0.1645788,0.442701,0.05442347,-0.090341546,-0.17457008,0.20876032,-0.04870908,-0.12580071,0.2378218,0.2923189,-0.2398396,-0.37414598,-0.024445726,-0.28505945,-0.31926417,-0.26016414,0.26163238,0.16259624,0.6143697,-0.16049051,0.3324589,0.123389095,-0.13909686,-0.0366688,-0.14028457,0.06468088,0.24667539,-0.09214284,0.21209608,0.3178076,0.37347922,-0.2932362,-0.012287826,0.17735821,-0.27168372,-0.32739407,-0.006602719,-0.10324107,-0.043086097,-0.1178369,0.5399728,-0.11541196,0.14640734,0.12964909,-0.42220375,0.3665298,0.1564496,0.039237905,0.2643583,-0.011945507,0.22048283,-0.46905586,0.20438161,0.045908533,0.049816534,-0.21057145,-0.054707196,-0.062030163,-0.28478092,0.089575306,0.39329448,-0.35532212,0.122561224,-0.10510954,-0.13397782,0.018690929,0.022480045,0.04616966,-0.28271642,0.27248096,0.020284481,0.14845644,0.3036496,-0.48028016,0.1576148,-0.04104563,0.25471887,-0.2003334,0.23383656,-0.26375142,0.10055334,0.07106445,-0.038855627,-0.25802132,-0.09217453,0.23071659,0.3719434,0.48854002,0.13169883,0.062856585,0.112230934,0.48212972,0.13015552,0.02180089,-0.06882605,-0.039947715,0.09659977,-0.18785958,-0.15660961,-0.015955256,-0.112978786,0.14912185,0.16848113,0.06562853,0.12247343,0.02939834,-0.94806445,-0.21896659,0.17683618,-0.20970422,0.213854,0.22790717,-0.06637329,-0.14763597,0.0023977752,-0.011002859,0.15675081,-0.5852777,-0.18351735,-0.2530991,-0.62957567,-0.12370335,-0.37489945,-0.096871234,-0.12198998,0.11334495,-0.062541515,-0.42286584,0.086634636,0.60497236,0.26876992,0.16980898,-0.048863728,-0.12272673,-0.140071,0.060160544,-0.28398356,0.055087157,-0.16590852,-0.4286177,-0.16943567,0.31279936,0.03459453,-0.8881266,-0.16840698,0.22581507,-0.074591674,0.13094838,-0.098823436,0.045985162,0.008823893,-0.16147186,0.14287023,0.38288477,0.096161,0.02599018,-0.21079385,0.23455298,-0.1277633,0.14017175,0.19042456,0.24687703,0.25153172,0.24248971,-0.31405577,-0.21476941,-0.34311867,-0.35995507,0.38132754,-0.24648224,-0.28163233,-0.013967193,-0.18649396,0.565476,-0.06835627,0.111293375,-0.19511783,-0.41550875,-0.18217832,-0.17949432,-0.18124577
SIM-0007-NT,-0.4000144,0.034018308,-0.08419901,-0.3854791,0.026568202,0.19055818,0.2994326,-0.60507256,-0.18272509,-0.34269422,-0.16307876,0.34713817,-0.18180467,-0.11876019,-0.20726815,0.40648314,-0.5749413,-0.13909164,-0.21640141,-0.43029287,0.27555454,-0.45077595,-0.11486169,-0.01968296,-0.18773034,-0.43356594,-0.042065006,-0.19045794,0.20216213,0.12902784,0.4860692,0.02749406,0.14731278,-0.08973372,0.42793232,0.002567279,-0.025638534,0.13514446,-0.16123971,-0.124904275,0.13496463,0.18305846,0.14926642,-0.020045687,0.06760684,0.24010564,-0.2734939,0.00034819855,-0.7278502,0.18505882,-0.19565327,-0.18901469,-0.030474793,0.15477608,0.5979587,-0.38825876,-0.21237777,0.05717137,-0.18168129,0.20898454,-0.041948903,0.2213276,-0.06212262,0.13622102,-0.23928232,0.4843554,-0.42491487,-0.17694104,-0.355096,0.20007461,0.13490264,-0.30454698,0.24927846,-0.17463554,0.096829675,0.15553212,-0.061217684,0.22746333,-0.036027115,0.08468391,-0.06853124,-0.46705562,-0.030883655,-0.21841653,0.34806725,-0.341044,0.30625468,-0.044692934,0.101550534,-0.34497914,-0.07719756,-0.16615492,0.5258106,-0.17233631,0.28834414,0.2918412,0.28481832,-0.1484689,0.45122403,0.5030453,0.09177905,-0.11634972,-0.21516167,0.117939785,0.016225573,0.045678783,-0.33696696,0.008237533,0.28596216,0.20379616,-0.10353048,-0.027260423,-0.36708373,-0.16631305,-0.085007094,0.15835197,-0.176587,-0.25899622,0.18941978,-0.10565119,-0.20973618,0.20310298,0.114695705,-0.0518678,-0.08782018,0.09488205,0.13469137,0.05222793,0.030159894,-0.15165623,-0.13667545,-0.042956144,-0.24027523,-0.26951212,-0.022433229,0.24736147,-0.5182277,-0.09785963,0.06812962,0.2680764,0.44997457,-0.064459205,0.49313086,0.11389151,0.20355713,-0.26634422,0.11335008,0.22514065,-0.17233853,-0.65140235,0.037251744,-0.05373363,0.3360632,-0.13457792,-0.17625247,-0.29285526,-0.157521,0.66673857,-0.39666256,-0.33382276,-0.013575675,0.49364132,0.18538637,0.38808215,-0.09626305,-0.3475262,-0.112303905,-0.031175856,0.0027393228,-0.053496327,0.14768362,-0.1779792,-0.23178963,-0.30115473,0.05125659,0.026437724,0.27285567,0.38674757,-0.3018437,0.0058804317,-0.051339217,-0.3841823,-0.13204204,0.39165437,-0.15817565,-0.19974643,-0.0130131785,0.22792274,-0.076169185,0.03192163,-0.5711498,0.14308152,0.0552829,0.2211701,-0.46690622,-0.075620845,0.24104548,-0.1392342,0.012763299,-0.102406316
SIM-0008-NT,-0.09628082,0.29178342,-0.3558481,-0.012568975,0.062940456,0.23452517,-0.03048865,0.24222015,-0.013657698,0.029885685,0.020334663,0.16381943,0.13543293,-0.2782648,0.05425537,0.1351654,0.36543274,-0.25216416,0.13461168,-0.08697108,0.047964353,-0.26837444,-0.0033456413,0.079731405,-0.24253163,0.36219022,-0.38605556,0.13438916,-0.60710984,-0.063745864,0.11990921,0.17815714,-0.026343258,-0.060406145,0.1418608,0.23766564,0.34490338,-0.32270336,-0.050161444,-0.548383,-0.34187523,-0.1760297,0.216253,-0.12022327,-0.0722412,0.07500767,-0.16764031,-0.49866897,-0.18648162,-0.030180823,0.1171157,-0.051597245,0.112958394,0.23117653,0.2801406,0.04307735,-0.28429002,-0.3112538,-0.28796706,-0.2687216,0.024851454,0.47186065,0.052976325,-0.0209987,0.24047266,-0.20714094,0.26050875,0.24197865,0.01474927,0.5234365,0.2788078,0.0113474615,-0.035913236,-0.10797779,-0.03268495,-0.025449574,-0.07987257,-0.05349244,-0.2981232,-0.14203455,-0.39931476,0.103608124,0.020014692,-0.030646594,0.22155839,-0.21588589,-0.17770731,-0.37030312,0.25575477,0.15138315,0.33239663,0.3956426,-0.106091,-0.17778708,-0.44886652,-0.27449673,-0.0812265,-0.51523685,-0.2693329,-0.020708693,0.22335935,-0.17926988,0.03199494,0.46593955,-0.4515109,0.27146816,0.09519317,0.3166328,0.2417231,-0.16580059,0.00045041004,-0.36513588,-0.13073409,0.00731201,0.07589675,0.197359,0.39573172,-0.10888635,0.2861921,0.066825666,-0.3268543,-0.03760086,0.028970009,-0.20917434,-0.26014143,-0.26853952,-0.13588727,-0.2161575,0.30760196,-0.61277795,0.027817851,0.1320786,-0.24070625,-0.057978436,-0.08552557,-0.0193445,0.16573358,0.14334531,-0.14999443,-0.37611303,0.04126715,-0.1641684,-0.13193884,0.055861603,-0.10876793,0.07667899,0.6282141,0.17146106,0.33622447,0.12772328,0.019279439,0.13151614,0.11932704,0.21570137,0.014841602,-0.32707894,-0.36703536,0.11530846,-0.2815488,0.17160669,0.33466354,-0.055164963,0.30283657,0.06473451,0.0064800093,0.018211544,-0.20771259,-0.23965865,-0.41101024,-0.18327412,0.53484845,-0.3733414,-0.29413435,-0.20139748,-0.18966377,0.06733097,-0.15295285,-0.049628906,-0.21237524,-0.11880562,-0.014918641,-0.03363878,0.49519104,-0.0070466707,-0.05243544,-0.6242411,0.059981354,-0.49377137,0.13792378,0.035604343,0.19947429,-0.15860724,0.006744949,0.1689415,-0.23238699,0.15250857,0.14106403,-0.03371682,0.39463347,0.12888826
SIM-0009-NT,-0.41853824,0.24717203,-0.16452722,0.19942032,0.07388181,-0.6604355,0.15121622,-0.055414066,-0.11486174,-0.10554951,0.19721971,-0.23031768,0.2783202,-0.3799125,0.07392355,0.19311012,0.18697459,0.046019424,-0.05169893,-0.13749623,-0.3056051,-0.17141752,-0.24034469,-0.28132907,0.45092762,-0.4298568,0.28137743,-0.3091255,-0.2555316,-0.2596189,-0.27761894,0.23071375,0.14709172,-0.058149785,0.6768393,-0.004181689,0.014969057,-0.17140946,-0.2011834,-0.13327833,0.2129323,0.14278059,0.32265046,-0.17926925,0.14737727,0.07637704,0.108550526,-0.2159439,-0.25968325,0.13478456,0.21821025,-0.15457651,0.1522588,0.29984364,-0.090449445,-0.35970315,-0.32844764,-0.16913068,-0.11150346,-0.009034704,-0.0039545614,-0.06809024,0.16980875,-0.1901934,0.3161686,0.23501647,0.21670178,-0.16487631,-0.029105822,0.18071087,-0.049978543,-0.17478748,-0.18481566,-0.1726396,-0.29023418,0.7175884,-0.48807982,-0.24519764,0.14900583,-0.1703502,-0.08792805,0.09879727,0.2580885,-0.06835482,0.23050702,-0.42435503,-0.15149419,0.12370473,0.49329767,-0.24134795,-0.28536054,0.08535052,0.013295225,-0.17960824,-0.30417204,-0.12847316,0.13030934,-0.08330024,0.2927906,-0.03400556,0.15037625,0.06961846,-0.10091683,0.20827943,-0.3043213,-0.13839261,-0.10347285,0.09538467,0.15770693,-0.2037949,-0.23902394,0.01964356,-0.38441217,0.25195894,-0.055957858,-0.2923851,-0.29733145,0.078283615,0.071518615,-0.19210862,-0.028468283,-0.28230146,-0.06460372,0.36888555,0.5326402,-0.052940026,0.107960574,0.09808389,-0.4302588,-0.287464,-0.5789103,0.11226839,0.486346,0.26645914,0.011124853,-0.02412082,-0.08809224,0.264917,0.05391433,0.015615031,-0.27581954,0.15026914,-0.037496075,0.09924219,0.24976917,-0.40871984,-0.0739023,-0.110154115,-0.13218792,-0.27922243,-0.18188031,-0.27461264,0.20622824,0.094353884,0.07701964,-0.48174423,0.48721087,-0.10213207,0.43615776,0.18728301,-0.057915945,0.51080114,0.14184506,-0.05708592,-0.09777518,0.25798845,-0.13412751,-0.09464131,-0.1492373,-0.18891092,-0.17361663,0.4431142,0.25189406,0.058832116,-0.13687438,-0.13784319,-0.0916557,0.4472385,0.07272888,0.1868847,0.049958758,-0.22140898,0.025640607,-0.26895818,0.2988338,-0.18715562,-0.14297277,0.20329456,-0.17457926,-0.054763786,-0.65942276,-0.08064969,0.1485729,-0.15660033,0.1398199,-0.004039455,0.27195865,-0.18374513,-0.060387485,-0.36741382
