,cg_dummy
SIM-0000-NT,0.5
SIM-0001-NT,0.5
SIM-0002-NT,0.5
SIM-0003-NT,0.5
SIM-0004-NT,0.5
SIM-0005-NT,0.5
SIM-0006-NT,0.5
SIM-0007-NT,0.5
SIM-0008-NT,0.5
SIM-0009-NT,0.5
SIM-0010-NT,0.5
SIM-0011-NT,0.5
SIM-0012-NT,0.5
SIM-0013-NT,0.5
SIM-0014-NT,0.5
SIM-0015-NT,0.5
SIM-0016-NT,0.5
SIM-0017-NT,0.5
SIM-0018-NT,0.5
SIM-0019-NT,0.5
SIM-0020-NT,0.5
SIM-0021-NT,0.5
SIM-0022-NT,0.5
SIM-0023-NT,0.5
SIM-0024-NT,0.5
SIM-0025-NT,0.5
SIM-0026-NT,0.5
SIM-0027-NT,0.5
SIM-0028-NT,0.5
SIM-0029-NT,0.5
SIM-0030-NT,0.5
SIM-0031-NT,0.5
SIM-0032-NT,0.5
SIM-0033-NT,0.5
SIM-0034-NT,0.5
SIM-0035-NT,0.5
SIM-0036-NT,0.5
SIM-0037-NT,0.5
SIM-0038-NT,0.5
SIM-0039-NT,0.5
SIM-0040-NT,0.5
SIM-0041-NT,0.5
SIM-0042-NT,0.5
SIM-0043-NT,0.5
SIM-0044-NT,0.5
SIM-0045-NT,0.5
SIM-0046-NT,0.5
SIM-0047-NT,0.5
SIM-0048-NT,0.5
SIM-0049-NT,0.5
SIM-0050-NT,0.5
SIM-0051-NT,0.5
SIM-0052-NT,0.5
SIM-0053-NT,0.5
SIM-0054-NT,0.5
SIM-0055-NT,0.5
SIM-0056-NT,0.5
SIM-0057-NT,0.5
SIM-0058-NT,0.5
SIM-0059-NT,0.5
SIM-0060-NT,0.5
SIM-0061-NT,0.5
SIM-0062-NT,0.5
SIM-0063-NT,0.5
SIM-0064-NT,0.5
SIM-0065-NT,0.5
SIM-0066-NT,0.5
SIM-0067-NT,0.5
SIM-0068-NT,0.5
SIM-0069-NT,0.5
SIM-0070-NT,0.5
SIM-0071-NT,0.5
SIM-0072-NT,0.5
SIM-0073-NT,0.5
SIM-0074-NT,0.5
SIM-0075-NT,0.5
SIM-0076-NT,0.5
SIM-0077-NT,0.5
SIM-0078-NT,0.5
SIM-0079-NT,0.5
SIM-0080-NT,0.5
SIM-0081-NT,0.5
SIM-0082-NT,0.5
SIM-0083-NT,0.5
SIM-0084-NT,0.5
SIM-0085-NT,0.5
SIM-0086-NT,0.5
SIM-0087-NT,0.5
SIM-0088-NT,0.5
SIM-0089-NT,0.5
SIM-0090-NT,0.5
SIM-0091-NT,0.5
SIM-0092-NT,0.5
SIM-0093-NT,0.5
SIM-0094-NT,0.5
SIM-0095-NT,0.5
SIM-0096-NT,0.5
SIM-0097-NT,0.5
SIM-0098-NT,0.5
SIM-0099-NT,0.5
SIM-0000-TP,0.5
SIM-0001-TP,0.5
SIM-0002-TP,0.5
SIM-0003-TP,0.5
SIM-0004-TP,0.5
SIM-0005-TP,0.5
SIM-0006-TP,0.5
SIM-0007-TP,0.5
SIM-0008-TP,0.5
SIM-0009-TP,0.5
SIM-0010-TP,0.5
SIM-0011-TP,0.5
SIM-0012-TP,0.5
SIM-0013-TP,0.5
SIM-0014-TP,0.5
SIM-0015-TP,0.5
SIM-0016-TP,0.5
SIM-0017-TP,0.5
SIM-0018-TP,0.5
SIM-0019-TP,0.5
SIM-0020-TP,0.5
SIM-0021-TP,0.5
SIM-0022-TP,0.5
SIM-0023-TP,0.5
SIM-0024-TP,0.5
SIM-0025-TP,0.5
SIM-0026-TP,0.5
SIM-0027-TP,0.5
SIM-0028-TP,0.5
SIM-0029-TP,0.5
SIM-0030-TP,0.5
SIM-0031-TP,0.5
SIM-0032-TP,0.5
SIM-0033-TP,0.5
SIM-0034-TP,0.5
SIM-0035-TP,0.5
SIM-0036-TP,0.5
SIM-0037-TP,0.5
SIM-0038-TP,0.5
SIM-0039-TP,0.5
SIM-0040-TP,0.5
SIM-0041-TP,0.5
SIM-0042-TP,0.5
SIM-0043-TP,0.5
SIM-0044-TP,0.5
SIM-0045-TP,0.5
SIM-0046-TP,0.5
SIM-0047-TP,0.5
SIM-0048-TP,0.5
SIM-0049-TP,0.5
SIM-0050-TP,0.5
SIM-0051-TP,0.5
SIM-0052-TP,0.5
SIM-0053-TP,0.5
SIM-0054-TP,0.5
SIM-0055-TP,0.5
SIM-0056-TP,0.5
SIM-0057-TP,0.5
SIM-0058-TP,0.5
SIM-0059-TP,0.5
SIM-0060-TP,0.5
SIM-0061-TP,0.5
SIM-0062-TP,0.5
SIM-0063-TP,0.5
SIM-0064-TP,0.5
SIM-0065-TP,0.5
SIM-0066-TP,0.5
SIM-0067-TP,0.5
SIM-0068-TP,0.5
SIM-0069-TP,0.5
SIM-0070-TP,0.5
SIM-0071-TP,0.5
SIM-0072-TP,0.5
SIM-0073-TP,0.5
SIM-0074-TP,0.5
SIM-0075-TP,0.5
SIM-0076-TP,0.5
SIM-0077-TP,0.5
SIM-0078-TP,0.5
SIM-0079-TP,0.5
SIM-0080-TP,0.5
SIM-0081-TP,0.5
SIM-0082-TP,0.5
SIM-0083-TP,0.5
SIM-0084-TP,0.5
SIM-0085-TP,0.5
SIM-0086-TP,0.5
SIM-0087-TP,0.5
SIM-0088-TP,0.5
SIM-0089-TP,0.5
SIM-0090-TP,0.5
SIM-0091-TP,0.5
SIM-0092-TP,0.5
SIM-0093-TP,0.5
SIM-0094-TP,0.5
SIM-0095-TP,0.5
SIM-0096-TP,0.5
SIM-0097-TP,0.5
SIM-0098-TP,0.5
SIM-0099-TP,0.5
