,G0000,G0001,G0002,G0003,G0004,G0005,G0006,G0007,G0008,G0009,G0010,G0011,G0012,G0013,G0014,G0015,G0016,G0017,G0018,G0019,G0020,G0021,G0022,G0023,G0024,G0025,G0026,G0027,G0028,G0029,G0030,G0031,G0032,G0033,G0034,G0035,G0036,G0037,G0038,G0039,G0040,G0041,G0042,G0043,G0044,G0045,G0046,G0047,G0048,G0049,G0050,G0051,G0052,G0053,G0054,G0055,G0056,G0057,G0058,G0059,G0060,G0061,G0062,G0063,G0064,G0065,G0066,G0067,G0068,G0069,G0070,G0071,G0072,G0073,G0074,G0075,G0076,G0077,G0078,G0079,G0080,G0081,G0082,G0083,G0084,G0085,G0086,G0087,G0088,G0089,G0090,G0091,G0092,G0093,G0094,G0095,G0096,G0097,G0098,G0099,G0100,G0101,G0102,G0103,G0104,G0105,G0106,G0107,G0108,G0109,G0110,G0111,G0112,G0113,G0114,G0115,G0116,G0117,G0118,G0119,G0120,G0121,G0122,G0123,G0124,G0125,G0126,G0127,G0128,G0129,G0130,G0131,G0132,G0133,G0134,G0135,G0136,G0137,G0138,G0139,G0140,G0141,G0142,G0143,G0144,G0145,G0146,G0147,G0148,G0149,G0150,G0151,G0152,G0153,G0154,G0155,G0156,G0157,G0158,G0159,G0160,G0161,G0162,G0163,G0164,G0165,G0166,G0167,G0168,G0169,G0170,G0171,G0172,G0173,G0174,G0175,G0176,G0177,G0178,G0179,G0180,G0181,G0182,G0183,G0184,G0185,G0186,G0187,G0188,G0189,G0190,G0191,G0192,G0193,G0194,G0195,G0196,G0197,G0198,G0199
SIM-0000-NT,0.01,0.46837044,0.8738773,0.24909714,0.6429794,0.7269986,0.5852792,0.99,0.24313593,0.037751585,0.01,0.7498749,0.48487303,0.22304115,0.928013,0.99,0.4886467,0.34620965,0.01,0.01,0.99,0.01,0.01,0.28551447,0.2563395,0.059051156,0.99,0.01,0.07964486,0.99,0.42989242,0.28961515,0.99,0.74256396,0.83754694,0.01,0.01,0.25944495,0.01,0.7052093,0.01,0.01,0.37691694,0.7404919,0.53576934,0.30356836,0.1201053,0.96378195,0.67473716,0.99,0.025907114,0.88949287,0.7339864,0.44273603,0.55959314,0.23320311,0.99,0.99,0.99,0.01,0.22756672,0.23207507,0.67803144,0.01,0.3726219,0.95548487,0.99,0.99,0.01,0.01,0.61577165,0.45337725,0.43575692,0.01,0.5238795,0.58332735,0.01,0.99,0.36357734,0.5533464,0.6972614,0.021748602,0.11786185,0.01,0.2179122,0.99,0.6165341,0.71793073,0.01,0.48372495,0.01,0.69927907,0.2911242,0.01,0.6183889,0.01,0.3001531,0.5896585,0.01,0.99,0.7658411,0.01,0.021434456,0.99,0.7324565,0.41032383,0.01,0.99,0.69416624,0.9352461,0.42896172,0.87307227,0.99,0.01,0.6770395,0.01,0.4259649,0.8086245,0.01,0.01,0.01,0.399633,0.7598265,0.99,0.44561297,0.99,0.7845299,0.6978611,0.26196232,0.370879,0.01,0.01,0.6082609,0.45209488,0.07272062,0.89037067,0.45237297,0.20501214,0.48510975,0.99,0.01,0.8345842,0.51160264,0.0647296,0.4541339,0.01,0.5650115,0.01,0.99,0.7908595,0.2169995,0.99,0.22397196,0.01,0.01,0.99,0.99,0.01,0.36570835,0.17936112,0.066642076,0.3516465,0.17959659,0.55489063,0.21367127,0.20807609,0.20367503,0.57930946,0.01,0.020616218,0.29430354,0.66752774,0.36230546,0.92799497,0.8851456,0.01,0.01,0.49079323,0.8036051,0.29284075,0.18068141,0.01,0.103703365,0.9095723,0.59251106,0.01,0.7440813,0.99,0.7570977,0.99,0.87818354,0.79764915,0.01,0.09522128,0.01,0.7799174,0.7707852,0.01,0.31468156,0.5468465
SIM-0001-NT,0.83156323,0.01,0.90466547,0.715791,0.99,0.4307936,0.77019346,0.99,0.09377584,0.33573526,0.7950516,0.5596755,0.01,0.99,0.99,0.99,0.99,0.01,0.01,0.09905335,0.37398618,0.99,0.01,0.99,0.25915924,0.02320519,0.99,0.99,0.99,0.33951345,0.7345097,0.01,0.4906823,0.62677306,0.45097393,0.72115695,0.49134314,0.499431,0.01,0.99,0.3158136,0.68084764,0.99,0.5373491,0.35112113,0.22998399,0.72671235,0.24430627,0.62601316,0.74812484,0.01,0.8597036,0.99,0.39615393,0.99,0.01,0.6696384,0.0738883,0.41722757,0.99,0.9553984,0.01,0.01,0.01,0.30621755,0.6381601,0.6149947,0.1459294,0.01,0.42908427,0.100694805,0.27113795,0.58699125,0.99,0.99,0.8800982,0.01,0.7666852,0.39529216,0.9304167,0.99,0.29533416,0.01,0.01,0.81391025,0.99,0.6744856,0.84580034,0.24923165,0.8222451,0.61241364,0.63168985,0.67971647,0.85963917,0.54558575,0.01,0.19653311,0.40585858,0.4508821,0.99,0.21283093,0.58317447,0.56530595,0.99,0.22866565,0.9317145,0.9780707,0.01,0.99,0.99,0.81471825,0.96535414,0.9542,0.45766988,0.7973904,0.7009536,0.020073622,0.01,0.2806704,0.5235006,0.01,0.20975241,0.29042587,0.01,0.01,0.09444702,0.559892,0.6700982,0.5212843,0.8754312,0.040435255,0.01,0.622249,0.3734311,0.7340136,0.7486531,0.99,0.42883357,0.99,0.99,0.3798426,0.9795991,0.07405138,0.8921628,0.99,0.14129928,0.8032712,0.82960093,0.99,0.99,0.76235604,0.44672617,0.99,0.9074886,0.49280864,0.49441376,0.01,0.44944635,0.99,0.01580672,0.39120722,0.25720614,0.04644744,0.46720034,0.30203277,0.01,0.30946326,0.99,0.51742834,0.01,0.5992117,0.08537542,0.96388304,0.64623713,0.99,0.36508027,0.75588846,0.99,0.99,0.99,0.7589334,0.7275555,0.99,0.01,0.01,0.01,0.99,0.13704026,0.01,0.22255945,0.02310133,0.34935573,0.01,0.01,0.14310277,0.7128202,0.01,0.11861095,0.183219,0.06632969
SIM-0002-NT,0.39320278,0.99,0.99,0.5544895,0.07845503,0.37643102,0.67682135,0.8183497,0.5011324,0.99,0.01,0.3727508,0.99,0.45843437,0.99,0.68236053,0.99,0.99,0.4829643,0.01,0.01,0.99,0.01,0.99,0.01,0.01,0.99,0.5603749,0.6606911,0.31706318,0.01,0.7477905,0.74773157,0.01,0.8760503,0.48540688,0.68009007,0.66765547,0.21660076,0.21720901,0.6760069,0.4774506,0.9807762,0.99,0.01,0.7849448,0.68658453,0.01,0.6025971,0.99,0.8769248,0.01,0.99,0.90920657,0.8690765,0.06477732,0.99,0.31226513,0.5312525,0.01,0.01,0.99,0.32420006,0.316262,0.70604795,0.01,0.6749795,0.6706096,0.03061103,0.01,0.38107073,0.67892253,0.9376393,0.64336467,0.6942651,0.061341584,0.99,0.37022874,0.01,0.93626595,0.45570916,0.01,0.7040447,0.12755474,0.01,0.99,0.01,0.7375657,0.01,0.823026,0.01,0.72624445,0.65923053,0.99,0.37437794,0.01,0.7118052,0.01,0.01,0.13997251,0.01,0.9510685,0.60054946,0.7101542,0.7022834,0.01,0.32667363,0.7584282,0.29879236,0.5871415,0.32192004,0.731468,0.6551424,0.99,0.99,0.47437143,0.99,0.8369807,0.99,0.01,0.01,0.25232005,0.2309655,0.99,0.023767829,0.56826377,0.6320384,0.47707772,0.18833798,0.7499292,0.89318156,0.89672065,0.45112365,0.07138327,0.99,0.019149601,0.99,0.99,0.99,0.96464187,0.01,0.21038538,0.69275963,0.10731104,0.44317007,0.69492996,0.42520425,0.07985425,0.99,0.99,0.37840834,0.8718532,0.7874199,0.99,0.8455098,0.99,0.01,0.3872568,0.57466364,0.01,0.90373945,0.81184775,0.01,0.70886254,0.99,0.01,0.34408674,0.01,0.22904332,0.13414654,0.9791707,0.33042824,0.01,0.9861805,0.76934886,0.2502708,0.01,0.9625337,0.8875237,0.6886579,0.24858868,0.19412205,0.01,0.026779264,0.24786715,0.36390203,0.01,0.36253405,0.36207914,0.99,0.48570594,0.28356436,0.5812928,0.28921226,0.29804945,0.031805754,0.11912963,0.99,0.97292084,0.6662017
SIM-0003-NT,0.99,0.01,0.0437575,0.55558795,0.99,0.33718055,0.9521269,0.99,0.3738486,0.18191753,0.01,0.01,0.99,0.41120824,0.01,0.5858907,0.99,0.99,0.8742858,0.01,0.01,0.06673768,0.6290468,0.01,0.5144264,0.8727168,0.99,0.8966752,0.99,0.01,0.99,0.5662901,0.99,0.086890936,0.01,0.99,0.317166,0.4542347,0.46126467,0.9570497,0.99,0.22153524,0.01,0.99,0.69756526,0.01,0.99,0.01,0.99,0.40798026,0.5412255,0.99,0.78479874,0.55267006,0.7262929,0.54211104,0.99,0.01,0.01,0.01,0.57561374,0.01,0.01,0.6506346,0.030749619,0.4839509,0.99,0.7832482,0.3725018,0.5789775,0.16810898,0.41149187,0.98437065,0.59102535,0.99,0.01,0.6490053,0.3095522,0.99,0.99,0.6331779,0.01,0.55990744,0.13331777,0.99,0.99,0.99,0.8972336,0.99,0.808057,0.014836237,0.01,0.31617296,0.880979,0.8207783,0.01,0.36858422,0.24030595,0.99,0.65470123,0.36075634,0.01,0.01,0.85359085,0.7221241,0.8429164,0.1847145,0.43964952,0.97202337,0.99,0.2598076,0.0494954,0.3031352,0.62268174,0.99,0.5015329,0.700675,0.23810934,0.22378254,0.99,0.01,0.01,0.01,0.26572815,0.99,0.31972942,0.99,0.4233857,0.82888186,0.19178441,0.01,0.17437072,0.6759974,0.38982752,0.42670703,0.8522093,0.01,0.491133,0.35901752,0.38688537,0.5564102,0.47755107,0.01,0.3268752,0.06860697,0.63669187,0.91303986,0.01,0.42200628,0.99,0.01,0.9075506,0.99,0.27055275,0.38295007,0.01,0.599698,0.99,0.99,0.046967573,0.01,0.7861161,0.17496118,0.5901805,0.84552985,0.158248,0.99,0.99,0.13646543,0.01,0.01,0.022657365,0.01,0.99,0.72843814,0.6039696,0.7547523,0.8487594,0.6059801,0.99,0.98178536,0.01,0.0816195,0.9142605,0.3324239,0.01,0.99,0.99,0.99,0.99,0.99,0.99,0.6289274,0.30984426,0.01,0.7096981,0.70659125,0.49723798,0.01,0.10143064
SIM-0004-NT,0.88061047,0.01,0.6009511,0.92695224,0.99,0.99,0.39076173,0.9368677,0.30332145,0.5183703,0.43886876,0.99,0.01,0.9284677,0.88069063,0.24929559,0.01,0.6795277,0.01,0.99,0.5391977,0.01,0.01,0.99,0.7983978,0.29876742,0.9855863,0.3682592,0.99,0.99,0.01,0.01,0.99,0.99,0.22976524,0.01,0.8843129,0.03850144,0.039183646,0.5469668,0.6036579,0.6731113,0.99,0.5208607,0.01,0.66126156,0.99,0.13993433,0.99,0.30646744,0.19910643,0.3166566,0.8087761,0.26889926,0.99,0.99,0.7048361,0.01,0.5190481,0.3220114,0.9185768,0.0444882,0.99,0.28252476,0.6690162,0.01,0.01,0.78963125,0.25163913,0.01,0.119140156,0.51281446,0.42893517,0.01,0.9820679,0.032879703,0.44527426,0.41140032,0.65269417,0.99,0.87370425,0.013560027,0.41567087,0.88213146,0.7488318,0.826251,0.92327416,0.70189804,0.3162043,0.44321916,0.01,0.48802492,0.8412638,0.7403074,0.99,0.01,0.01,0.01,0.036846876,0.83668077,0.01,0.6657214,0.728726,0.42153472,0.0627951,0.99,0.99,0.01,0.35693964,0.01,0.06681606,0.99,0.99,0.49997464,0.2289176,0.01,0.5397171,0.0881069,0.01692313,0.01,0.4050643,0.23775598,0.01,0.10729134,0.3818608,0.10799006,0.075876236,0.7488445,0.15894233,0.01,0.8661071,0.3372078,0.01,0.2966166,0.01,0.89641917,0.36679143,0.62521505,0.5237616,0.01,0.99,0.99,0.16562372,0.5410655,0.99,0.41639638,0.99,0.99,0.74606144,0.54558086,0.01,0.01,0.99,0.17481366,0.99,0.99,0.01,0.01,0.99,0.10942176,0.01,0.01,0.16766766,0.99,0.99,0.20262745,0.99,0.99,0.56487036,0.99,0.45696074,0.7447523,0.1954372,0.99,0.772178,0.9483681,0.99,0.99,0.90274566,0.02292195,0.70682526,0.01,0.7107343,0.9510095,0.14118332,0.99,0.99,0.9661297,0.8275311,0.47702718,0.75616705,0.01,0.219428,0.36186373,0.01,0.99,0.9580873,0.47150266,0.01,0.11824493
SIM-0005-NT,0.01,0.16797861,0.99,0.01,0.33121455,0.90850735,0.22871172,0.45577392,0.99,0.38287655,0.6373184,0.87362546,0.5157353,0.99,0.99,0.01,0.80103457,0.6884264,0.101789325,0.8818839,0.47999582,0.99,0.7683599,0.99,0.01,0.01,0.3219028,0.99,0.36532387,0.25527403,0.01,0.99,0.81818926,0.9391522,0.29064703,0.6744121,0.01,0.12015775,0.01,0.68004215,0.25233594,0.8718412,0.71506596,0.41551787,0.83509576,0.2701962,0.158633,0.78944975,0.01,0.99,0.01,0.5403241,0.99,0.061520368,0.99,0.324758,0.99,0.50727665,0.46874225,0.93634677,0.99,0.01,0.01,0.01,0.99,0.8479092,0.99,0.01,0.5058197,0.756133,0.22810462,0.99,0.0807001,0.63324606,0.2694164,0.6750565,0.99,0.99,0.967541,0.45649362,0.52484906,0.01,0.01,0.87349343,0.99,0.01,0.6231895,0.81215066,0.01,0.90682185,0.98485863,0.7625115,0.99,0.52492994,0.60748875,0.01,0.71276224,0.2986059,0.99,0.99,0.5829909,0.01,0.01,0.99,0.99,0.71486884,0.01,0.99,0.4608065,0.9423903,0.01,0.5705219,0.99,0.87089694,0.512532,0.19021855,0.19867888,0.99,0.926772,0.01,0.01,0.46136796,0.09735498,0.23316924,0.021183014,0.101998925,0.5107838,0.29358727,0.99,0.8677717,0.01,0.01,0.63380575,0.28087258,0.94621176,0.69889826,0.01,0.15188956,0.28071776,0.8429649,0.01,0.8063546,0.01,0.44822726,0.785823,0.99,0.6329791,0.2809971,0.99,0.7452567,0.8896897,0.2097722,0.7852855,0.01,0.9310359,0.8972274,0.01,0.01,0.95200366,0.01,0.01,0.5439022,0.18454698,0.286685,0.95468926,0.44212145,0.68123776,0.22390372,0.07851586,0.5153723,0.6488737,0.01,0.01,0.99,0.7855454,0.99,0.7884371,0.4937122,0.99,0.4794782,0.74659,0.01,0.01,0.0617235,0.07167369,0.28990102,0.8466686,0.99,0.20230326,0.99,0.99,0.03661427,0.12676242,0.07139227,0.20677334,0.44138262,0.01,0.01,0.73063344,0.88563836
SIM-0006-NT,0.99,0.58594036,0.022652686,0.49213064,0.01,0.01,0.70730615,0.99,0.99,0.15213606,0.01,0.56533045,0.29365703,0.4738413,0.8088599,0.01,0.88405395,0.99,0.99,0.5465415,0.8731122,0.01,0.06608157,0.99,0.01,0.2050857,0.99,0.4368386,0.70611095,0.59157515,0.5420715,0.9441295,0.99,0.67993677,0.99,0.36567935,0.99,0.09547442,0.99,0.68071294,0.01,0.9396057,0.46598184,0.5625726,0.033445686,0.6865894,0.01,0.053088695,0.55831444,0.5789117,0.01,0.99,0.9388912,0.5236451,0.99,0.1385885,0.3891291,0.99,0.99,0.9787661,0.99,0.01,0.01,0.01,0.99,0.2076894,0.61858565,0.01,0.12236653,0.01,0.01,0.99,0.22661448,0.01,0.87231725,0.5819666,0.5394181,0.99,0.07835215,0.01,0.01,0.01,0.42970014,0.01,0.01,0.8860488,0.99,0.99,0.66181266,0.22864515,0.39247864,0.5650428,0.43048212,0.9665399,0.01,0.01,0.77894086,0.88765174,0.99,0.99,0.2783523,0.13576154,0.01,0.46626848,0.065421104,0.99,0.99,0.9262172,0.8074374,0.8929483,0.01,0.53744733,0.2974022,0.9483166,0.6729318,0.16948539,0.85349333,0.052680373,0.96132326,0.01,0.36055118,0.27701095,0.7574346,0.01,0.01,0.9827255,0.23398766,0.3816254,0.01,0.99,0.5032408,0.24917991,0.01,0.7300589,0.01,0.22868985,0.01,0.583331,0.99,0.7352939,0.13206086,0.78451896,0.5911225,0.4781689,0.6894772,0.01,0.5634606,0.01,0.99,0.28547114,0.99,0.01,0.99,0.01,0.16993856,0.64484185,0.5020429,0.015954599,0.99,0.01,0.12464318,0.21626505,0.01,0.01,0.6818205,0.054242697,0.99,0.14226621,0.0781056,0.8246359,0.72731674,0.4704279,0.61865234,0.99,0.99,0.76345426,0.01,0.9695308,0.38104928,0.35530487,0.7978014,0.01,0.012098759,0.75799495,0.01,0.71941817,0.27596465,0.39654422,0.99,0.01,0.8788991,0.99,0.44430077,0.99,0.49027687,0.7006632,0.38170058,0.01,0.060982555,0.36085057
SIM-0007-NT,0.67377585,0.99,0.6585845,0.99,0.99,0.76397324,0.53665024,0.8043953,0.020459622,0.41578835,0.08500685,0.93875885,0.01,0.79288137,0.99,0.25459847,0.99,0.7918615,0.28817385,0.44966286,0.19584036,0.01,0.6583141,0.99,0.69053787,0.6773163,0.59245217,0.99,0.8292762,0.85785127,0.01,0.13641664,0.99,0.99,0.99,0.01,0.041537046,0.9017277,0.01,0.99,0.01,0.06063718,0.44633597,0.99,0.01,0.01,0.5394877,0.6047571,0.99,0.54575944,0.5763115,0.99,0.99,0.29943278,0.01,0.1513058,0.94350916,0.89164495,0.01,0.016330168,0.99,0.071156874,0.13979524,0.99,0.18641222,0.87514067,0.99,0.51243204,0.11248489,0.0861145,0.23230022,0.28746948,0.5271113,0.113230005,0.6178782,0.01,0.01,0.8910609,0.45395282,0.01,0.59535867,0.01,0.8990479,0.01,0.8375199,0.99,0.2899751,0.7571563,0.99,0.80218494,0.4413081,0.11298004,0.99,0.8643426,0.01,0.01,0.01,0.19000092,0.34889698,0.90672684,0.260884,0.01,0.01,0.99,0.99,0.27605414,0.060406446,0.99,0.21122023,0.90255404,0.01,0.67002386,0.99,0.74656916,0.99,0.23324312,0.01,0.08160919,0.01,0.30426732,0.81922007,0.4029659,0.18987277,0.047502697,0.766513,0.01,0.01,0.8771081,0.13523528,0.4219179,0.2690997,0.4917834,0.5174714,0.10776541,0.01,0.46041095,0.7037274,0.64384675,0.5561137,0.64508826,0.3348591,0.3397543,0.99,0.20397882,0.6654203,0.01,0.40260422,0.13957,0.31961143,0.99,0.6276693,0.99,0.99,0.84318197,0.67037004,0.99,0.616029,0.17831479,0.90523934,0.07608812,0.35060874,0.34550366,0.42916238,0.99,0.09154695,0.6829236,0.57762146,0.99,0.23108658,0.42926717,0.5012502,0.01,0.99,0.39536652,0.938313,0.191473,0.01,0.54766214,0.36756948,0.01,0.5949946,0.01,0.32998303,0.45640725,0.01,0.01,0.99,0.35953343,0.80067164,0.9875954,0.38339663,0.20713556,0.8710921,0.01,0.061134152,0.99,0.018207192,0.7050407,0.01,0.16426037
SIM-0008-NT,0.78130776,0.01,0.2509439,0.9258047,0.85231787,0.23253337,0.027383804,0.99,0.034583494,0.46635646,0.3602788,0.40258148,0.9711675,0.42231834,0.99,0.99,0.99,0.61974514,0.99,0.46727583,0.47208023,0.21505864,0.01,0.99,0.16412151,0.8664614,0.99,0.8440552,0.50292736,0.55370206,0.01,0.34285375,0.99,0.5554556,0.5659156,0.045909405,0.99,0.5824763,0.99,0.28523967,0.75749296,0.01,0.99,0.8501722,0.99,0.25677472,0.99,0.4005436,0.99,0.11517978,0.3626777,0.3630675,0.93190825,0.01,0.7224757,0.7329416,0.99,0.015572786,0.01,0.4208249,0.99,0.01,0.99,0.21117085,0.01,0.01,0.99,0.6897993,0.87004066,0.01,0.20057374,0.5881207,0.66967815,0.099538654,0.5981774,0.23310846,0.8920616,0.9685228,0.99,0.057857335,0.01,0.64060354,0.01,0.010201022,0.19757497,0.37939432,0.01,0.4961411,0.54883593,0.6857312,0.50668675,0.068565995,0.99,0.62998295,0.01,0.30191216,0.9767396,0.01,0.99,0.24231651,0.5738657,0.99,0.2651921,0.7707802,0.41401267,0.99,0.81051797,0.99,0.3557299,0.52992123,0.04932064,0.5932174,0.01,0.38189164,0.6260766,0.33864605,0.99,0.45063576,0.01,0.01,0.33841962,0.36895782,0.99,0.92236125,0.99,0.49913672,0.9790093,0.01,0.75825,0.42943552,0.01,0.4254662,0.99,0.2760052,0.99,0.01,0.01,0.5882387,0.43297684,0.28837976,0.41981018,0.46565056,0.35982817,0.58434707,0.26704156,0.33551678,0.18742186,0.08655435,0.99,0.99,0.99,0.6820781,0.41913214,0.2081012,0.99,0.01,0.011055276,0.5247053,0.20445436,0.35614848,0.5129838,0.01,0.2818846,0.042392045,0.9022034,0.4466406,0.96120816,0.82153463,0.5422449,0.01,0.5652964,0.01,0.90770483,0.99,0.99,0.99,0.18378049,0.37562838,0.48752376,0.01,0.01,0.4191336,0.01,0.01,0.1801411,0.0266117,0.99,0.92153704,0.14554122,0.99,0.99,0.01,0.5847298,0.056519777,0.01,0.99,0.5091589,0.3666923,0.263014,0.68186146
SIM-0009-NT,0.20714217,0.20736313,0.84644115,0.01,0.99,0.01,0.45679137,0.04557258,0.01,0.8425163,0.69239616,0.99,0.01,0.19392908,0.8069214,0.72456896,0.41893637,0.42056504,0.01,0.99,0.11407408,0.24173546,0.260049,0.99,0.01,0.99,0.044388175,0.99,0.01,0.6719634,0.99,0.7497156,0.99,0.15000057,0.4935551,0.8669808,0.99,0.99,0.23443425,0.42974067,0.99,0.23951867,0.37847435,0.053316057,0.81324136,0.6868516,0.1507203,0.9311683,0.9566598,0.85673463,0.63041854,0.99,0.9501973,0.23283422,0.99,0.01,0.99,0.5906182,0.8474568,0.7890643,0.6618375,0.42411777,0.4254411,0.01,0.99,0.61415726,0.6112356,0.99,0.01,0.08987674,0.01,0.9603962,0.5013437,0.6700838,0.99,0.01,0.99,0.469619,0.01317966,0.99,0.01,0.87802947,0.31230262,0.01,0.02939254,0.01,0.7954509,0.11744779,0.4752149,0.5352848,0.01675111,0.57128,0.9796794,0.99,0.27234572,0.12869552,0.27538362,0.21537417,0.4181717,0.45561427,0.029002026,0.32005727,0.24830407,0.99,0.41335022,0.43738842,0.7047681,0.09933856,0.5006831,0.714087,0.4433338,0.67242575,0.99,0.8101784,0.889085,0.01,0.9078748,0.28812474,0.01,0.097829916,0.3030206,0.01,0.2846735,0.40658116,0.56083614,0.99,0.01,0.99,0.25768515,0.86075056,0.41755086,0.01,0.01,0.21716818,0.7773342,0.01,0.124748826,0.74402714,0.854787,0.8433069,0.01,0.01,0.80884534,0.99,0.42815918,0.01,0.29525122,0.8863958,0.6925508,0.99,0.9653917,0.60838914,0.01,0.01,0.4958947,0.12200531,0.288096,0.26336837,0.01,0.54675335,0.332551,0.5461247,0.61080873,0.01,0.99,0.040849492,0.99,0.3382722,0.99,0.01,0.99,0.01,0.92022884,0.6855462,0.99,0.6974214,0.01,0.01,0.99,0.44678545,0.01,0.2598864,0.61203945,0.16253027,0.01,0.22280458,0.99,0.94128644,0.99,0.99,0.77786493,0.01,0.3452611,0.6772994,0.19398618,0.99,0.87873316,0.74089086,0.082874104,0.504683
