,G0000,G0001,G0002,G0003,G0004,G0005,G0006,G0007,G0008,G0009,G0010,G0011,G0012,G0013,G0014,G0015,G0016,G0017,G0018,G0019,G0020,G0021,G0022,G0023,G0024,G0025,G0026,G0027,G0028,G0029,G0030,G0031,G0032,G0033,G0034,G0035,G0036,G0037,G0038,G0039,G0040,G0041,G0042,G0043,G0044,G0045,G0046,G0047,G0048,G0049,G0050,G0051,G0052,G0053,G0054,G0055,G0056,G0057,G0058,G0059,G0060,G0061,G0062,G0063,G0064,G0065,G0066,G0067,G0068,G0069,G0070,G0071,G0072,G0073,G0074,G0075,G0076,G0077,G0078,G0079,G0080,G0081,G0082,G0083,G0084,G0085,G0086,G0087,G0088,G0089,G0090,G0091,G0092,G0093,G0094,G0095,G0096,G0097,G0098,G0099,G0100,G0101,G0102,G0103,G0104,G0105,G0106,G0107,G0108,G0109,G0110,G0111,G0112,G0113,G0114,G0115,G0116,G0117,G0118,G0119,G0120,G0121,G0122,G0123,G0124,G0125,G0126,G0127,G0128,G0129,G0130,G0131,G0132,G0133,G0134,G0135,G0136,G0137,G0138,G0139,G0140,G0141,G0142,G0143,G0144,G0145,G0146,G0147,G0148,G0149,G0150,G0151,G0152,G0153,G0154,G0155,G0156,G0157,G0158,G0159,G0160,G0161,G0162,G0163,G0164,G0165,G0166,G0167,G0168,G0169,G0170,G0171,G0172,G0173,G0174,G0175,G0176,G0177,G0178,G0179,G0180,G0181,G0182,G0183,G0184,G0185,G0186,G0187,G0188,G0189,G0190,G0191,G0192,G0193,G0194,G0195,G0196,G0197,G0198,G0199
SIM-0000-NT,6.68958,4.640577,2.2275822,2.1866891,3.998326,3.7609653,2.3875124,2.9946203,3.015975,4.652866,4.280882,3.751752,2.8376575,2.2457247,3.6153862,3.4419494,6.121355,4.4616075,5.1752586,3.778971,2.9632654,4.0524197,3.2312267,5.9749284,2.8018496,4.3223577,2.4748368,4.487174,4.349611,4.0105095,3.9848087,2.9624445,4.8961644,3.914723,2.69457,2.3956044,4.4468017,5.673078,3.435928,3.8473716,4.416844,4.8561544,4.314304,2.8616614,5.774382,5.052731,5.4094973,4.3649616,1.5705701,2.0536668,5.5040383,5.187599,4.177679,4.615461,4.873137,2.4742227,3.2229972,5.448885,2.9942076,4.119396,4.7472067,3.511695,4.7669473,3.8787816,4.383645,2.3561285,4.0721116,2.2692888,3.0388923,2.8330781,4.3031,4.602109,2.3552997,4.3011975,3.8972938,3.8963766,4.1599593,4.8071327,4.820244,3.9631324,2.5921903,3.9993021,3.8391976,3.535256,3.272522,4.2113123,3.9212396,7.2430634,5.656518,3.1628106,3.8470733,2.2267249,3.644861,4.048879,5.0000343,3.9522376,2.8255606,0.6463208,4.6428027,4.2122498,3.267926,2.15472,3.7504954,2.0991602,2.4379928,5.572553,3.002358,3.1654682,5.0897107,7.2546654,3.854776,3.7177312,4.172893,5.6576962,3.3207712,2.8893862,4.859533,4.2395344,4.547756,3.7790906,3.459048,3.209956,4.027242,4.39187,3.0101492,4.5602365,5.618975,3.9935336,3.5057752,4.044374,3.548873,3.1072714,4.2757006,3.0498872,5.2853394,5.8143883,4.1244874,1.9545707,3.2800105,5.3273277,3.9058118,3.8217285,2.673318,5.1021137,5.6457214,3.0996635,3.7223268,4.180253,4.460855,4.0203714,4.522374,3.4873612,3.9348588,5.2319403,1.8287424,4.5123367,3.947092,4.0836067,3.785124,2.1203976,4.8040223,4.6014614,2.052786,4.47262,2.5112967,3.4568565,2.4895234,3.5649915,5.8565273,4.460125,5.2169046,5.148935,4.9636736,5.255955,3.9837055,5.1072626,3.592661,4.3902884,3.2957528,5.340416,2.3041573,4.776308,3.704004,4.5633016,3.9691298,6.163521,4.555299,1.9168196,3.8849573,3.3920023,2.3413513,4.7629094,4.1760902,4.031659,3.127576,4.4164405,2.2133594,2.7690918,4.5359163,5.184449
SIM-0001-NT,7.1882315,4.3205743,3.1495337,1.9470134,4.656595,3.590563,2.7747066,2.2642689,4.3600817,5.659843,3.646737,2.9114475,3.0138636,2.7907362,4.4124894,4.204366,5.582072,3.683709,4.9884653,3.3510718,2.3075223,4.0592613,4.167358,6.696494,2.7181883,5.265999,3.416886,5.152846,5.0097837,4.1610475,4.3292446,3.6636653,4.616468,2.6532109,2.8162048,2.4439664,3.5326674,6.419999,5.0244894,4.560972,4.413433,5.981314,4.225409,3.6904714,4.559553,4.627252,5.565949,3.531908,2.7499325,2.591976,6.5497084,6.1707726,3.8262036,3.7412064,5.4835505,2.7914975,2.5640595,4.567801,3.2323456,3.3697202,4.092168,4.533207,4.5141277,4.0292425,5.14179,2.4794397,4.4642,3.1762264,2.3586645,2.5799983,3.838179,5.1055427,3.317273,4.5806212,3.449716,3.0502238,4.8432045,4.646731,5.2363563,3.5565472,3.4304998,3.5241623,3.928464,4.3322997,2.7146156,4.212542,4.36483,5.9477596,5.636224,3.8656452,3.131577,1.4782307,2.4783704,4.33016,5.221312,3.2121108,3.9529486,0.51629376,4.035301,3.7183046,2.90667,2.933236,3.5292914,1.7950987,2.3698237,6.84299,3.6312706,2.7352448,6.7894435,6.9228554,3.7052789,3.5851018,4.4070845,5.911435,4.6025696,4.180365,4.423705,4.9192653,3.4429276,3.621302,3.0794048,3.777369,3.8729005,4.239163,3.6129644,4.6840215,4.0442324,4.4887156,3.8607469,3.332006,3.9708788,3.3204324,3.9697413,4.318229,5.4220805,5.369883,4.0934095,3.213649,3.0270207,4.6871967,4.6248903,4.511645,1.3094409,3.9481425,4.448261,2.7790856,3.4767652,4.249726,4.165247,4.1816535,3.3409593,3.162037,3.6059008,5.61595,2.0558152,3.54748,2.9256623,3.4439974,3.211567,1.9644139,4.123801,5.7466407,2.3102655,5.388498,3.333466,3.5075166,3.1865394,2.8977227,5.49489,4.633932,5.6585903,5.97155,4.127983,6.7740836,4.3262773,4.18948,3.7383888,3.5284233,2.9266982,5.188101,3.0994873,4.4712667,4.3030515,5.750001,5.46902,6.085353,5.4124894,1.4875605,3.7740936,2.3944902,3.5413332,5.225504,4.554455,4.242157,2.9014227,4.2396784,2.6673052,3.3667164,4.3150177,5.379474
SIM-0002-NT,7.496516,5.2381067,3.1652718,2.162727,3.6922793,3.1431205,4.054787,3.8208876,3.965014,5.509177,4.402432,4.4415183,3.1090257,2.147468,3.6816127,2.4809203,5.959373,2.306068,4.121008,3.7265885,3.053821,2.4536688,2.9187229,6.8137403,2.9365983,5.9599495,3.096113,5.135591,5.1933885,3.9088757,3.4580655,3.2903485,4.4282665,2.8626456,2.6464782,2.3509662,4.6347666,5.596397,4.018594,3.8282707,4.397387,5.614409,3.7195263,3.0682788,5.6586285,4.2225876,4.827335,4.4051404,3.007216,1.8664831,5.765669,6.0914574,4.007674,3.9328034,4.75931,3.0584745,2.953963,4.401932,4.040673,4.734515,4.733742,4.9949784,5.3526144,4.266945,5.0273504,2.010417,4.0166636,3.5686464,2.7515457,2.757204,3.45864,5.2328577,2.675104,4.2007365,3.8508701,3.4849062,5.3808823,4.7275367,4.7199917,4.5666466,3.053685,2.9485936,3.719975,3.6660507,2.9416986,3.9535646,4.059812,6.8273253,6.046782,3.3047805,3.917531,2.8446252,2.3553162,4.133386,4.1157484,3.2889462,3.343537,2.375477,4.4311514,3.038973,3.22038,3.3657198,3.6417785,2.2415752,3.026023,5.8503613,3.1154168,3.2419152,5.3595176,7.392014,3.1777165,3.682714,3.960394,5.2990947,2.7443116,4.0260196,4.299525,4.6535225,3.0029662,3.7641428,2.679928,4.984391,3.0449548,4.9681773,3.519594,4.6771245,5.07189,4.377793,4.274914,4.7801805,3.771849,3.8445592,3.9943109,3.8725874,5.557187,5.8008666,5.1084094,3.1982646,2.7891457,4.6338344,4.1481028,3.6837463,1.798975,5.040831,5.1139274,4.2941747,3.2351828,4.981367,4.174343,3.632205,4.112809,3.7789807,4.2077603,5.2673254,0.73428667,2.991337,4.5031347,4.157644,3.330041,2.2475312,4.7254615,5.817532,2.138111,5.4769745,4.461067,4.185954,3.4339333,4.286524,5.865094,4.889705,6.031485,5.4372425,3.890418,6.0942965,3.761086,4.4306884,4.3552113,4.486656,4.046275,4.853747,2.2455719,4.662132,3.8603647,5.2107415,5.317709,5.640011,4.906792,1.9336461,4.1582055,2.8295472,3.1068134,5.393314,4.545446,3.165992,3.8719532,3.9835591,2.6614919,2.2801342,3.8649056,5.0237756
SIM-0003-NT,6.5709357,5.105263,2.9279928,2.512176,4.298564,3.2056727,3.5402443,3.3898013,4.7186065,3.9061751,3.1562757,3.5697796,2.97161,2.6703694,3.7502358,3.7540946,6.277452,4.645372,5.0747685,3.982033,2.951379,2.7541418,3.6236823,6.1837764,3.1792834,5.574966,1.8716367,4.2227306,3.791416,3.6617317,3.8319335,2.5915494,3.953493,3.1145957,4.003106,3.6229334,3.9667132,5.3972993,3.5853896,2.9272966,4.227386,4.8070755,4.176957,2.7889698,4.7253017,4.50307,5.718861,4.39197,2.1152866,3.0591836,5.250822,6.040095,3.8151615,2.928619,5.3033457,3.0756361,3.4117558,4.5728326,4.3712845,4.4986334,3.70823,4.7126355,6.374378,5.070827,4.029939,1.4865613,4.693741,2.6276293,2.1199164,2.8787506,3.87599,4.864704,2.3483255,3.6935253,3.159662,3.232572,6.1435747,4.686871,5.7807775,3.6009555,3.2110791,3.4193642,2.9166427,3.4875686,2.0103025,2.965598,3.6305485,7.179952,5.854626,3.7920384,3.918108,2.9278374,2.9588444,4.5775805,5.5702105,2.9825926,3.6256237,2.135805,3.562558,2.3762014,2.8784964,3.1663918,4.0692425,1.8460088,2.5462475,6.4145155,3.0216727,3.6791544,6.475404,6.4044213,3.6702263,3.366263,4.8639917,5.762691,2.807068,2.8508737,4.6915555,3.6550746,4.1074934,4.624573,2.2266488,3.9128118,3.3709168,3.9179277,3.8319201,4.4522696,5.8825397,3.914313,4.8514247,4.101862,4.3979735,3.054863,4.291715,3.8449638,5.67514,5.9043956,4.710971,3.53372,3.6560712,5.9158154,4.075277,4.66667,1.9436136,4.939116,4.154546,3.6996045,3.7103243,4.1547027,4.6492763,2.622521,2.8894606,4.1459417,4.182797,5.596715,0.77014345,3.7515328,5.178267,4.7080936,3.7129385,2.0237513,4.1307087,4.662751,2.5949588,5.2865696,2.883665,3.6079671,2.3683693,3.1828682,5.3267856,3.5404544,6.039447,5.5543394,4.3135357,4.50358,3.9407837,5.444439,2.3144317,3.8927844,2.7125757,5.391869,2.4841392,4.9843273,4.092079,6.0893598,4.649398,6.0086684,3.9882472,3.0231664,3.5527923,2.5476158,3.4705963,4.7297864,4.751919,3.7848027,3.1327496,3.2383332,2.7215352,3.6998742,3.373015,4.617929
SIM-0004-NT,7.352134,4.5494576,3.2164476,2.7977011,4.501988,3.516003,4.9400153,3.2810009,3.4602678,5.2798786,4.376544,3.5780075,2.4481478,3.4802394,3.6771138,3.5800748,6.2258954,4.0757017,4.856299,3.7818408,2.169115,3.211197,4.2312512,6.361559,2.9905074,4.5849366,2.891903,4.8045917,4.196048,4.301518,3.092633,3.7762122,4.256229,3.7334905,2.2109003,3.3863778,4.7954054,6.0588865,3.4026144,4.2959223,4.4882536,4.503366,4.2072334,3.77134,5.3843265,4.517387,5.6813717,4.92004,3.388548,1.1983132,5.492209,5.6413403,2.9444315,3.6639042,6.085823,2.3496704,3.2734735,4.1854153,3.2694387,4.733575,3.5652783,4.568681,4.471873,5.021744,4.9452653,1.858578,4.2390547,2.45186,3.3724525,2.9598553,3.5638418,4.670075,2.3832817,4.377967,3.643784,3.998201,4.9983606,4.7947154,5.1279736,4.96036,2.520092,4.40661,4.9264507,3.750494,4.0302486,4.588235,4.7137976,6.531485,5.7682314,3.0420523,3.907882,3.2371511,3.49995,3.8598833,5.618067,3.7314916,3.6731834,2.2254605,3.70187,2.4730911,3.0364637,2.3054075,4.024212,2.2005472,2.3129609,4.6514378,2.0889187,3.4636347,5.5046005,7.085363,2.1330905,4.351104,4.2695417,5.873718,4.1760325,4.5129423,4.624055,4.1381564,3.4610715,4.121126,2.5724921,3.5642042,4.467203,4.175065,4.594467,4.5169096,5.905375,4.3340893,4.8332367,3.6908498,3.5732048,3.5082948,4.810771,3.9228415,5.4499717,4.8932257,3.6722784,2.3531318,2.942331,5.753665,4.2560415,3.349936,2.1600337,4.846039,5.50242,2.1610003,3.3331366,5.1166434,4.2774563,3.9894853,3.953804,3.9129944,4.5413675,5.0667486,1.8723707,3.0766482,4.3406963,4.385364,3.319939,2.2319357,4.016725,5.1914997,2.2893312,4.311834,3.8328733,3.363633,3.30309,3.0748043,5.016897,4.270354,6.394885,5.342557,4.33322,5.9932942,3.385397,4.8064213,4.702186,4.132719,3.3365326,5.263648,3.2694988,3.7836173,2.968186,5.2763925,4.3934307,6.476659,4.573188,1.4606943,3.2990398,1.4531549,3.3646574,5.4170365,4.4253025,3.840509,3.5855424,3.947588,1.7160931,3.6375005,4.5896893,5.310008
SIM-0005-NT,7.404602,3.8319955,4.0148396,1.3882399,4.642323,2.3433852,3.1195102,4.1460876,3.728759,5.485942,4.2755265,3.788886,3.6462712,2.2069876,2.623323,3.5445974,6.0435257,4.3280287,4.19921,3.138533,2.5241957,2.8521485,2.586817,5.8142843,2.8143082,5.2242556,3.5016334,4.858668,4.188931,3.9133244,3.55095,2.7717962,3.9759614,3.2276099,2.1926575,2.8030922,4.5374455,4.785542,4.172556,3.7713938,4.4565806,5.2995324,3.4925826,2.957878,5.121001,4.9431467,4.4286623,4.3560977,3.370342,2.5553277,5.926029,5.3721313,3.7607977,2.806356,4.289273,3.3643372,2.6127756,4.4155626,2.9121737,3.2898932,3.7496383,3.972786,5.596467,4.316854,4.8043637,2.0691283,4.7401657,2.622973,2.7537196,3.6881926,4.2981467,4.205021,2.5174296,4.709692,3.76987,3.7699583,4.8939157,4.3462152,5.481508,3.7193072,3.282768,3.8154404,3.9034612,4.442638,4.372734,3.2019966,4.3902345,6.137379,6.1655455,3.1700354,4.093544,3.1243112,3.5055034,4.8816314,4.0337048,4.0661426,3.5333846,2.3916326,3.2273962,2.5222006,3.5435297,3.1146202,4.0472717,2.7845292,1.6503446,6.6161566,2.7167182,2.8013234,5.101356,7.1565914,1.6213794,3.955948,3.5955026,5.755427,2.9535584,4.3394914,4.6880097,4.087697,3.3705425,4.5026183,2.8932526,3.5690112,3.6153893,3.4485817,3.6389098,3.5916307,5.388614,4.2197404,5.5452323,3.5030875,3.9487534,4.1775856,4.9121895,3.5546074,6.205152,5.574354,4.5268245,2.8876026,2.8429284,4.392117,4.330311,4.705154,2.1417043,4.1199126,4.9486866,3.0718317,3.1654677,4.123417,3.3021321,3.1951237,3.6276062,4.362233,3.8328109,5.791599,1.1641834,3.8871236,4.1058145,4.732522,3.3606796,1.4570141,3.6370208,5.4614115,1.8416086,5.068934,3.4385905,5.125979,2.0782442,3.7673604,4.736068,4.3359547,5.8030214,4.0147266,4.5575,6.6953883,4.2122736,4.957892,4.21589,3.9845693,3.012096,3.8517158,3.1421916,4.725766,3.3030071,5.234545,4.4590287,5.556433,5.0339203,1.7587686,4.4567046,2.12915,3.1503694,6.4727015,5.201211,3.3498714,2.5160174,3.768146,2.8200774,3.3476214,4.266574,5.139896
SIM-0006-NT,6.8066745,3.6934204,2.7522063,2.325266,3.5835445,3.092281,3.1747656,3.4435785,3.6648924,5.804677,4.4103403,3.1854634,3.2999601,1.9379911,3.225194,4.103127,5.522056,4.576702,4.5954843,3.191231,2.4868708,2.752064,3.8243697,6.442868,4.0335855,5.972311,2.5817144,4.9667826,3.796851,3.454559,3.6441963,2.8166347,3.9201283,3.4728744,2.1660352,3.1431258,3.713711,6.9838753,3.9342995,3.9173706,3.6381557,6.1590476,4.779133,3.7375307,4.4328876,4.5340896,4.9750404,4.914412,3.1801283,2.6795602,4.43274,5.231958,4.1643615,4.2232547,6.0160294,2.096948,3.2560492,5.1510844,2.776227,3.9909258,3.9734783,4.187192,4.4814005,3.9277358,4.480286,1.8757917,3.669546,2.9352636,2.761334,3.343075,3.5136633,4.711078,2.7197843,3.0701735,3.754348,3.6720452,5.022605,5.0184827,4.3609905,2.8585773,3.4409592,3.7725828,4.327585,3.9455097,3.247789,4.5568094,4.470219,6.38706,4.823,3.5313747,4.323481,2.8588371,2.9694717,4.6525025,5.6361184,4.0503244,2.9077985,1.7394837,4.2109704,2.9662907,2.9118967,3.3304472,4.1950684,2.2862532,2.6427472,5.999894,3.451717,2.4528685,5.5432534,6.9105597,3.2679102,2.8830645,3.686407,4.7098336,3.0294905,3.1955693,4.5850625,4.7654552,3.3030725,3.9818182,2.4754353,4.097883,3.9711766,3.8862033,3.360347,4.99341,5.2094045,3.4569483,4.6795654,3.5108502,4.706341,3.7904913,4.461437,3.9813297,5.988652,5.9126167,4.2004576,3.3547277,3.3235557,4.9102397,3.9546528,3.8829608,1.7231777,4.013241,4.819335,3.7940266,4.24114,3.450675,4.414894,4.418882,3.6681068,3.7987463,3.148616,5.60486,0.9015616,3.8629673,3.3959107,4.567423,4.1403418,1.8516884,3.759534,4.6493387,2.3329318,4.5730314,2.895965,4.165185,2.7221165,3.1276758,5.0227585,5.1183076,6.03378,5.112399,4.7486396,5.163479,4.4551783,4.9016495,3.4685106,4.284275,2.9123592,5.2444944,3.0976257,3.3237705,4.404502,3.647431,4.4428444,6.33332,4.5721316,1.6948667,3.3861783,3.341446,2.520968,6.075724,4.6099825,2.704872,2.694725,3.52417,3.2165525,3.6950736,3.4524288,4.953516
SIM-0007-NT,6.4822693,5.061165,2.3354123,2.6700683,4.2510643,2.6060917,3.2460055,2.987094,3.2219,5.113394,3.5430908,2.751182,2.774508,1.423889,3.1376116,3.491666,5.332322,5.130756,5.0109453,3.6233897,1.9268572,2.7079017,3.382425,5.6162057,3.632645,4.2371407,2.9538898,4.638547,4.4671116,3.523117,3.8237908,3.227147,4.0788784,3.7875636,2.8935885,2.6777554,3.9573586,5.977363,4.0420747,3.728013,4.338171,6.154295,3.549204,3.9740012,4.1597033,4.5373926,6.3232975,4.4275684,2.8608437,2.351616,5.6664515,5.5976343,3.4274926,3.471875,5.560635,2.5093458,2.7021322,3.963205,3.8007574,4.2675395,3.9523873,4.82016,5.4514155,4.28659,4.795858,1.9040579,3.6858706,4.263846,2.5552115,2.7889087,3.8828816,5.04183,1.9712116,4.5919704,3.4687333,3.1168613,5.59715,4.850953,4.7051272,4.7340856,3.633456,3.771043,5.0376062,4.2562222,2.9015706,3.7603397,4.519153,6.7557755,5.8841844,2.7517633,3.7775817,2.5016584,2.7425559,3.579699,5.48843,1.969972,3.4485588,1.6136694,4.4914575,2.6908514,3.8003027,2.9246821,3.9626114,2.6106899,2.3016768,6.627525,2.2157283,3.050511,6.2982335,7.2350855,3.7866557,3.2500315,3.6519809,5.23153,3.3433642,4.0036836,4.828466,3.8732877,4.0072775,3.2538247,3.2045789,5.1905456,3.9168382,4.523724,3.198243,3.566432,4.711356,3.6089816,3.6282544,4.9143353,4.1365156,3.4682858,4.1619835,3.8162777,6.5754437,5.557186,4.6511936,3.1389406,2.716512,4.487686,3.2738748,4.3493624,2.2836623,4.2843733,4.437183,2.9164455,2.4504714,3.8061547,4.2560987,3.9013581,3.3196743,3.8272467,4.6637664,5.8600283,1.3856986,3.5291617,3.86184,4.529904,3.7256374,2.5579803,4.3939323,6.136732,2.513435,5.2561727,4.106886,3.5364122,2.0430295,4.43729,5.428374,3.7254124,5.375402,5.5633492,4.2992487,5.487904,5.139434,4.3043447,3.3043523,4.1722393,3.4978034,5.2377553,3.2773154,4.88164,4.054041,5.041642,4.782218,5.8744135,4.838324,2.8142295,4.2106194,2.8501015,3.0771573,5.545064,4.6235247,3.3976603,4.0895452,3.7708957,2.9945843,3.8630908,4.36101,6.3242345
SIM-0008-NT,6.7248425,4.576454,2.611059,1.6921914,4.3921785,3.610211,3.74419,4.017461,3.8117263,4.899896,5.5090413,4.038484,2.6046054,1.9781853,3.0423522,4.414502,5.5857415,4.1939554,4.950985,3.8664505,2.3916843,2.497097,3.3869226,6.4289494,3.3448796,4.433762,3.4358153,4.5596423,4.1241817,3.3713853,4.6098166,3.661923,4.748569,4.168622,4.180719,1.8674493,3.8033996,5.2710037,3.734582,3.34257,4.1359997,4.6976995,4.3869033,3.6149218,5.346803,4.6826205,5.8372593,3.9965298,3.8361027,2.7490563,4.7196856,5.222478,2.9502294,3.62548,5.400542,2.6587415,4.110736,4.917818,3.968444,3.5293412,3.3369846,4.355977,5.493985,3.1624289,4.5537853,1.956864,3.843707,2.7500746,2.5114195,3.033418,3.7112765,5.2182984,3.2140355,3.8834577,3.2877524,3.8911548,5.3081803,4.3210154,5.732595,4.335287,3.9499006,4.665302,3.809289,4.183522,2.9212508,4.041453,3.9035966,5.774693,5.923184,2.7625787,3.7556133,2.1395361,2.8594637,4.4327545,5.2813144,3.5605571,4.4387856,1.9913558,4.079875,2.398805,2.827107,3.9145539,3.4439974,1.7202996,2.5134053,6.084151,2.2613242,2.750728,6.4516015,6.50207,2.131597,4.103048,4.587704,5.4184384,2.2220592,3.3824105,4.749985,5.0176024,3.105553,3.8239172,2.9626765,2.5711927,4.2505054,3.640945,3.6106706,4.59488,5.555009,4.4308915,3.1631112,3.660766,4.069187,3.180952,4.5552998,4.2973967,6.397394,5.466217,3.4626782,3.0092022,3.0957725,4.6459193,4.578387,4.93434,2.3188474,3.3955483,3.8153763,3.8326638,3.2552063,3.2716455,4.6700907,3.7145066,4.4489822,3.8865018,4.381842,5.6529965,1.7820857,4.901865,4.6620154,3.505824,3.851416,2.8140187,4.9293456,5.5140476,3.0486107,5.327699,4.957733,3.5636747,2.6934013,3.5124843,5.0549335,4.1376452,4.350974,4.9600625,4.623766,5.4973235,5.4066834,4.8346763,4.3489437,4.197256,3.7157798,5.1292048,3.5060887,4.8103204,4.0574093,5.3544135,4.606726,6.0231376,5.847968,2.2927613,4.1427794,3.4568825,4.051847,5.517087,3.4458394,3.5594208,1.8765454,4.7677507,2.8681767,3.8286967,3.8609538,4.3790584
SIM-0009-NT,7.0442395,4.397608,2.7646914,1.9102844,5.6514297,3.6043217,4.109392,3.8098717,4.59894,4.9709444,3.129668,3.747072,3.370214,1.8404169,3.4255092,3.6003327,6.5189447,4.505003,5.30851,3.8115048,2.7964318,3.1336615,2.6821816,5.0352488,3.253654,5.000484,3.701705,5.717241,5.1699505,3.3443503,3.7831051,3.5853794,5.7120247,4.285066,3.3340929,2.5281684,3.730988,5.973545,3.609661,3.7621436,4.2284374,6.1024575,4.0420337,2.3694477,5.3585114,4.079245,5.5570717,4.139882,2.638679,3.027011,4.8844957,5.4651585,4.1625,3.3097703,4.657041,3.227232,3.6668203,4.620829,2.624972,4.3478627,3.0066133,4.491974,4.96375,3.5106652,4.422984,1.8581791,3.6291773,3.4511213,2.5581524,3.611943,3.8064632,4.567124,2.2406373,3.2068834,3.6611972,3.495033,3.8166604,4.270258,4.886881,4.633333,2.4526682,3.0554657,4.7974815,4.8549547,2.5431204,3.774447,4.536346,5.3539243,4.9462476,3.0063899,4.487562,2.318693,3.4597614,4.8824997,6.259296,2.982492,3.3374352,2.7637386,3.0762346,3.4513762,2.961403,3.1743753,3.784428,1.7632658,2.0414038,6.267454,3.210347,2.8383462,5.87197,7.190654,2.342624,4.0015974,4.7512274,7.030511,2.8250906,3.5256813,5.1618204,4.8443184,3.3563004,3.6645958,2.8956697,3.3480341,3.5283456,4.2769666,3.9426422,4.169239,4.0915236,3.1971307,3.72205,3.3965716,3.922779,2.684002,3.965117,3.5156703,5.8729143,6.2346067,4.7168202,3.2450075,2.6570754,4.974527,4.4266224,4.7722282,1.8016052,4.9456787,3.4386108,2.9954262,3.90955,4.123683,4.9607306,3.2672095,4.005232,3.7301102,4.1024137,5.414331,1.486894,4.187129,4.8653803,4.2948685,4.035743,1.8923948,4.710973,5.3463545,3.0114686,5.9691486,3.6104329,2.842404,2.6730652,4.2814813,5.576583,4.7071123,6.2366457,5.4196386,5.0479493,6.2036467,5.1998434,5.007386,4.156059,3.9129825,3.0018456,5.842968,2.9297986,5.1847906,3.8712192,4.8779893,4.75636,6.5386434,5.0083947,1.5722232,3.8254247,3.7191398,3.3748217,4.610989,5.5840583,3.6422658,2.951276,3.8470733,3.324616,3.057868,4.8861375,5.4264097
