from_idx,to_idx,weight
0,7,1.0
7,0,1.0
0,16,1.0
16,0,1.0
0,46,1.0
46,0,1.0
0,63,1.0
63,0,1.0
0,72,1.0
72,0,1.0
0,75,1.0
75,0,1.0
0,77,1.0
77,0,1.0
0,91,1.0
91,0,1.0
0,112,1.0
112,0,1.0
0,116,1.0
116,0,1.0
0,162,1.0
162,0,1.0
1,8,1.0
8,1,1.0
1,9,1.0
9,1,1.0
1,11,1.0
11,1,1.0
1,14,1.0
14,1,1.0
1,29,1.0
29,1,1.0
1,41,1.0
41,1,1.0
1,67,1.0
67,1,1.0
1,85,1.0
85,1,1.0
1,92,1.0
92,1,1.0
1,94,1.0
94,1,1.0
1,114,1.0
114,1,1.0
1,115,1.0
115,1,1.0
1,169,1.0
169,1,1.0
1,176,1.0
176,1,1.0
2,16,1.0
16,2,1.0
2,21,1.0
21,2,1.0
2,23,1.0
23,2,1.0
2,53,1.0
53,2,1.0
2,68,1.0
68,2,1.0
2,80,1.0
80,2,1.0
2,107,1.0
107,2,1.0
2,130,1.0
130,2,1.0
2,132,1.0
132,2,1.0
2,153,1.0
153,2,1.0
2,163,1.0
163,2,1.0
2,196,1.0
196,2,1.0
3,13,1.0
13,3,1.0
3,23,1.0
23,3,1.0
3,31,1.0
31,3,1.0
3,32,1.0
32,3,1.0
3,59,1.0
59,3,1.0
3,71,1.0
71,3,1.0
3,191,1.0
191,3,1.0
4,5,1.0
5,4,1.0
4,14,1.0
14,4,1.0
4,29,1.0
29,4,1.0
4,35,1.0
35,4,1.0
4,49,1.0
49,4,1.0
4,61,1.0
61,4,1.0
4,102,1.0
102,4,1.0
4,112,1.0
112,4,1.0
4,133,1.0
133,4,1.0
4,185,1.0
185,4,1.0
5,46,1.0
46,5,1.0
5,68,1.0
68,5,1.0
5,99,1.0
99,5,1.0
5,107,1.0
107,5,1.0
5,128,1.0
128,5,1.0
5,146,1.0
146,5,1.0
6,17,1.0
17,6,1.0
6,40,1.0
40,6,1.0
6,63,1.0
63,6,1.0
6,67,1.0
67,6,1.0
6,73,1.0
73,6,1.0
6,167,1.0
167,6,1.0
6,197,1.0
197,6,1.0
7,31,1.0
31,7,1.0
7,32,1.0
32,7,1.0
7,35,1.0
35,7,1.0
7,74,1.0
74,7,1.0
7,79,1.0
79,7,1.0
7,80,1.0
80,7,1.0
7,111,1.0
111,7,1.0
7,119,1.0
119,7,1.0
7,168,1.0
168,7,1.0
8,32,1.0
32,8,1.0
8,43,1.0
43,8,1.0
8,193,1.0
193,8,1.0
9,13,1.0
13,9,1.0
9,45,1.0
45,9,1.0
9,48,1.0
48,9,1.0
9,52,1.0
52,9,1.0
9,76,1.0
76,9,1.0
9,102,1.0
102,9,1.0
9,111,1.0
111,9,1.0
9,162,1.0
162,9,1.0
9,180,1.0
180,9,1.0
9,192,1.0
192,9,1.0
10,52,1.0
52,10,1.0
10,56,1.0
56,10,1.0
10,71,1.0
71,10,1.0
10,82,1.0
82,10,1.0
10,99,1.0
99,10,1.0
