entrez_id,node_idx,node_type
G0000,0,1
G0001,1,1
G0002,2,1
G0003,3,1
G0004,4,1
G0005,5,1
G0006,6,1
G0007,7,1
G0008,8,1
G0009,9,1
G0010,10,1
G0011,11,1
G0012,12,1
G0013,13,1
G0014,14,1
G0015,15,1
G0016,16,1
G0017,17,1
G0018,18,1
G0019,19,1
G0020,20,1
G0021,21,1
G0022,22,1
G0023,23,1
G0024,24,1
G0025,25,1
G0026,26,1
G0027,27,1
G0028,28,1
G0029,29,1
G0030,30,1
G0031,31,1
G0032,32,1
G0033,33,1
G0034,34,1
G0035,35,1
G0036,36,1
G0037,37,1
G0038,38,1
G0039,39,1
G0040,40,1
G0041,41,1
G0042,42,1
G0043,43,1
G0044,44,1
G0045,45,1
G0046,46,1
G0047,47,1
G0048,48,1
G0049,49,1
G0050,50,1
G0051,51,1
G0052,52,1
G0053,53,1
G0054,54,1
G0055,55,1
G0056,56,1
G0057,57,1
G0058,58,1
G0059,59,1
G0060,60,1
G0061,61,1
G0062,62,1
G0063,63,1
G0064,64,1
G0065,65,1
G0066,66,1
G0067,67,1
G0068,68,1
G0069,69,1
G0070,70,1
G0071,71,1
G0072,72,1
G0073,73,1
G0074,74,1
G0075,75,1
G0076,76,1
G0077,77,1
G0078,78,1
G0079,79,1
G0080,80,1
G0081,81,1
G0082,82,1
G0083,83,1
G0084,84,1
G0085,85,1
G0086,86,1
G0087,87,1
G0088,88,1
G0089,89,1
G0090,90,1
G0091,91,1
G0092,92,1
G0093,93,1
G0094,94,1
G0095,95,1
G0096,96,1
G0097,97,1
G0098,98,1
G0099,99,1
G0100,100,1
G0101,101,1
G0102,102,1
G0103,103,1
G0104,104,1
G0105,105,1
G0106,106,1
G0107,107,1
G0108,108,1
G0109,109,1
G0110,110,1
G0111,111,1
G0112,112,1
G0113,113,1
G0114,114,1
G0115,115,1
G0116,116,1
G0117,117,1
G0118,118,1
G0119,119,1
G0120,120,1
G0121,121,1
G0122,122,1
G0123,123,1
G0124,124,1
G0125,125,1
G0126,126,1
G0127,127,1
G0128,128,1
G0129,129,1
G0130,130,1
G0131,131,1
G0132,132,1
G0133,133,1
G0134,134,1
G0135,135,1
G0136,136,1
G0137,137,1
G0138,138,1
G0139,139,1
G0140,140,1
G0141,141,1
G0142,142,1
G0143,143,1
G0144,144,1
G0145,145,1
G0146,146,1
G0147,147,1
G0148,148,1
G0149,149,1
G0150,150,1
G0151,151,1
G0152,152,1
G0153,153,1
G0154,154,1
G0155,155,1
G0156,156,1
G0157,157,1
G0158,158,1
G0159,159,1
G0160,160,1
G0161,161,1
G0162,162,1
G0163,163,1
G0164,164,1
G0165,165,1
G0166,166,1
G0167,167,1
G0168,168,1
G0169,169,1
G0170,170,1
G0171,171,1
G0172,172,1
G0173,173,1
G0174,174,1
G0175,175,1
G0176,176,1
G0177,177,1
G0178,178,1
G0179,179,1
G0180,180,1
G0181,181,1
G0182,182,1
G0183,183,1
G0184,184,1
G0185,185,1
G0186,186,1
G0187,187,1
G0188,188,1
G0189,189,1
G0190,190,1
G0191,191,1
G0192,192,1
G0193,193,1
G0194,194,1
G0195,195,1
G0196,196,1
G0197,197,1
G0198,198,1
G0199,199,1
